0.4   3.36033     0.0448584     0.409223
0.6   1.58327     0.0200051     0.183017
0.8   0.675171    0.0107472     0.0773583
1.0   0.285036    0.00622249    0.0363679
1.2   0.13756     0.00399331    0.0173934
1.4   0.0644656   0.00260572    0.0079764
1.6   0.0313486   0.00175441    0.00390057
1.8   0.0191159   0.00131943    0.00255246


K- (p+p 200 GeV Run-2. M.Harvey)
pT    XSECT       Stat.        Syst.


