  100000000      1.1             # run and version numbers
 
   Arm   Gap Panel  xTarg1  yTarg1  zTarg1  xTarg2  yTarg2  zTarg2 dxT1Fid dyT1Fid  dxFidC  dyFidC    dzH0    dzH1    dzV0    dzV1
 1     2     1      -60.74  528.73  781.75   59.95  528.69  781.39    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
 1     2     2     -176.63  528.74  772.78 -605.14  528.66  772.64    0.00    0.00 -196.79 -272.39    0.50    1.50   -0.50   -1.50
 1     2     3     -176.26  528.24  781.51 -604.77  528.19  780.80   17.40 -495.86 -214.20 -269.33    0.50    1.50   -0.50   -1.50
 1     2     4      -60.36  528.31  772.23   60.31  528.30  772.65  -26.67 -615.56   82.00 -209.49    0.50    1.50   -0.50   -1.50
 1     2     5      176.28  528.17  781.23  604.71  528.20  781.48  -17.40 -495.86  214.20 -269.33   -0.50   -1.50    0.50    1.50
 1     3     0      175.75  528.84  820.11  604.25  528.66  820.21    0.00    0.00  196.79 -272.39   -0.50   -1.50    0.50    1.50
 1     3     1      -60.73  528.86  828.51   59.93  528.86  828.41    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
 1     3     2     -176.81  528.84  819.73 -605.36  528.67  819.49    0.00    0.00 -196.79 -272.39    0.50    1.50   -0.50   -1.50
 1     3     3     -176.52  528.39  828.69 -605.08  528.15  828.57   17.40 -495.86 -214.20 -269.33    0.50    1.50   -0.50   -1.50
 1     3     4      -60.54  528.34  819.82   60.11  528.37  820.12  -26.67 -615.56   82.00 -209.49    0.50    1.50   -0.50   -1.50
 1     3     5      175.93  528.26  828.33  604.43  528.18  828.60  -17.40 -495.86  214.20 -269.33   -0.50   -1.50    0.50    1.50
 1     4     0      175.38  528.78  862.79  603.91  528.61  863.15    0.00    0.00  196.79 -272.39   -0.50   -1.50    0.50    1.50
 1     4     1      -60.46  528.76  871.72   60.19  528.72  871.86    0.00    0.00   55.33 -221.33    0.50    1.50   -0.50   -1.50
 1     4     2     -176.98  528.78  863.45 -605.49  528.72  863.29    0.00    0.00 -196.79 -272.39    0.50    1.50   -0.50   -1.50
 1     4     3     -176.77  528.29  872.22 -605.30  528.21  871.67   17.40 -495.86 -214.20 -269.33    0.50    1.50   -0.50   -1.50
 1     4     4      -60.72  528.41  862.99   59.89  528.36  863.24  -26.67 -615.56   82.00 -209.49    0.50    1.50   -0.50   -1.50
 1     4     5      175.38  528.23  871.93  603.91  528.17  871.78  -17.40 -495.86  214.20 -269.33   -0.50   -1.50    0.50    1.50
