 70   0.10100    0.10100    0.10100    1516.1     1.6200  1.6200     2.0  2.0
 71   0.10176    0.10176    0.10176    1517.0     15.000  15.000     0.0  0.0
 72   0.10200    0.10200    0.10200    1489.4     1.6000  1.6000     2.0  2.0
 73   0.10300    0.10300    0.10300    1468.5     1.6900  1.6900     2.0  2.0
 74   0.10400    0.10400    0.10400    1447.1     1.6800  1.6800     2.0  2.0
 75   0.10500    0.10500    0.10500    1427.2     1.6700  1.6700     2.0  2.0
 76   0.10541    0.10541    0.10541    1454.0     13.000  13.000     0.0  0.0
 77   0.10600    0.10600    0.10600    1402.0     1.6600  1.6600     2.0  2.0
 78   0.10700    0.10700    0.10700    1388.6     1.6200  1.6200     2.0  2.0
 79   0.10800    0.10800    0.10800    1367.7     1.6500  1.6500     2.0  2.0
 80   0.10900    0.10900    0.10900    1346.4     1.7500  1.7500     2.0  2.0
 81   0.11000    0.11000    0.11000    1329.8     1.6300  1.6300     2.0  2.0
 82   0.11100    0.11100    0.11100    1308.6     1.7300  1.7300     2.0  2.0
 83   0.11200    0.11200    0.11200    1290.3     1.7200  1.7200     2.0  2.0
 84   0.11245    0.11245    0.11245    1327.0     10.000  10.000     0.0  0.0
 85   0.11300    0.11300    0.11300    1274.1     1.7100  1.7100     2.0  2.0
 86   0.11400    0.11400    0.11400    1255.6     1.7000  1.7000     2.0  2.0
 87   0.11500    0.11500    0.11500    1238.1     1.6900  1.6900     2.0  2.0
 88   0.11564    0.11564    0.11564    1263.0     10.000  10.000     0.0  0.0
 89   0.11600    0.11600    0.11600    1218.0     1.8100  1.8100     2.0  2.0
 90   0.11630    0.11630    0.11630    1240.0     20.000  20.000     0.0  0.0
 91   0.11700    0.11700    0.11700    1203.0     1.6700  1.6700     2.0  2.0
 92   0.11800    0.11800    0.11800    1188.0     1.8000  1.8000     2.0  2.0
 93   0.11900    0.11900    0.11900    1170.8     1.6500  1.6500     2.0  2.0
 94   0.12000    0.12000    0.12000    1155.3     1.7800  1.7800     2.0  2.0
