6.48   8   1.6 
6.52   8.15   3.50366 
6.77   8.3   1.2 
6.84   8.3   0.2 
6.91   8.8   0.3 
6.93   8.02   3.50366 
7.14   9.8   2.2 
7.31   7.96   3.50321 
7.58   8.2   15.012 
7.62   7.7   0.2 
7.68   7.87   3.5028 
8.02   7.66   3.5028 
8.35   7.7   3.50173 
8.55   7.6   3.50143 
8.83   7.52   3.50173 
9.31   7.4   3.50173 
9.78   7.61   0.29 
9.78   7   0.2 
9.78   7.56   0.12 
9.84   7.48   3.50206 
9.98   7.33   3.50206 
10.19   7.23   3.50173 
10.43   7.21   3.50143 
10.52   7.49   0.08 
10.69   6.6   0.7 
10.71   7.25   3.50143 
11.00   6.89   3.50116 
11.22   7.07   3.50116 
11.47   6.86   3.50116 
11.52   6.86   3.50143 
11.54   7.41   0.31 
11.54   7.1   0.2 
13.76   7.07   0.35 
13.76   7.08   0.09 
13.90   6.9   1 
16.26   7   0.28 
16.66   6.85   0.24 
16.83   6.97   0.11 
18.17   7.06   0.28 
19.42   6.87   0.13 
19.42   6.95   0.08 
19.66   6.92   0.44 
19.66   6.92   0.44 
21.70   6.78   0.23 
23.50   6.7   0.3 
23.50   6.82   0.08 
23.50   6.8   4.40454 
23.50   6.81   4.00451 
23.76   7.29   0.16 
23.76   7.89   0.52 
23.88   7.2   0.4 
30.40   6.8   0.6 
30.60   6.9   0.4 
30.60   7.39   0.08 
30.60   7   4.30465 
30.60   6.75   4.00361 
44.90   7.45   0.08 
44.90   7.5   4.01123 
52.80   7.79   1.40602 
52.80   7.56   0.08 
52.80   7.6   3.91152 
52.80   7.17   4.00101 
62.30   7.51   4.00451 
62.50   7.77   0.1 


this is a combined dump of analyzer/data/sigma_total_tables/pp_sigma_el.dat and ppbar_sigma_el.dat
