 69.0  1.0  0.5597570E-02 0.9428660E-03 0.1261370E-02 0.9414370E-03
 67.0  1.0  0.8053750E-02 0.9603270E-03 -.9096450E-03 0.9585820E-03
 65.0  1.0  0.8506600E-02 0.9379510E-03 -.6874120E-03 0.9388250E-03
 63.0  1.0  0.1080050E-01 0.9416410E-03 0.1120160E-02 0.9418540E-03
 61.0  1.0  0.1264800E-01 0.9272450E-03 0.2040580E-02 0.9272540E-03
 59.0  1.0  0.1455350E-01 0.9244180E-03 -.1073210E-02 0.9236020E-03
 57.0  1.0  0.1612610E-01 0.9456530E-03 -.1423070E-03 0.9447130E-03
 55.0  1.0  0.1996470E-01 0.9223950E-03 0.5030540E-04 0.9226160E-03
 53.0  1.0  0.2522160E-01 0.9075080E-03 -.1034890E-02 0.9063470E-03
 51.0  1.0  0.2869300E-01 0.9003820E-03 -.4033010E-03 0.8999150E-03
 49.0  1.0  0.3360280E-01 0.9148800E-03 0.1404430E-02 0.9160670E-03
 47.0  1.0  0.3795940E-01 0.8817520E-03 0.8435340E-03 0.8818220E-03
 45.0  1.0  0.4162890E-01 0.8910240E-03 0.1554570E-02 0.8921340E-03
 43.0  1.0  0.4731980E-01 0.8872260E-03 0.6912070E-03 0.8881920E-03
 41.0  1.0  0.5284960E-01 0.8615180E-03 0.4362830E-03 0.8625410E-03
 39.0  1.0  0.5748800E-01 0.9396960E-03 -.1521600E-02 0.9431980E-03
 37.0  1.0  0.6079450E-01 0.9583910E-03 -.8772330E-04 0.9601350E-03
 35.0  1.0  0.6763860E-01 0.9422470E-03 0.8733930E-03 0.9445960E-03
 33.0  1.0  0.7141920E-01 0.9498900E-03 -.4516710E-04 0.9526660E-03
 31.0  1.0  0.7604930E-01 0.9299870E-03 0.1792830E-03 0.9320150E-03
 29.0  1.0  0.7880480E-01 0.9274230E-03 -.1311140E-02 0.9303150E-03
 27.0  1.0  0.8198510E-01 0.9167730E-03 -.1090610E-02 0.9177560E-03
 25.0  1.0  0.8522390E-01 0.9319910E-03 0.8458060E-03 0.9357760E-03
 23.0  1.0  0.8532280E-01 0.9076680E-03 -.5002200E-03 0.9119020E-03
 21.0  1.0  0.8394100E-01 0.9143500E-03 -.5714880E-03 0.9175960E-03
 19.0  1.0  0.8394880E-01 0.8923060E-03 0.1058360E-03 0.8954330E-03
 17.0  1.0  0.8209790E-01 0.8791450E-03 -.5781530E-03 0.8827330E-03
 15.0  1.0  0.7867430E-01 0.8684380E-03 -.1089110E-02 0.8718120E-03
 13.0  1.0  0.7119210E-01 0.8635430E-03 -.2342900E-03 0.8656730E-03
 11.0  1.0  0.6488820E-01 0.8610570E-03 -.2000970E-02 0.8623980E-03
 9.00  1.0  0.5697220E-01 0.8487110E-03 -.2477260E-03 0.8491710E-03
 7.00  1.0  0.4730030E-01 0.8300800E-03 -.9546770E-03 0.8292870E-03
 5.00  1.0  0.3498470E-01 0.8071860E-03 0.5388880E-03 0.8078360E-03
 3.00  1.0  0.2327420E-01 0.7843160E-03 -.4833090E-03 0.7839360E-03
 1.00  1.0  0.1531630E-01 0.7630280E-03 -.9541730E-03 0.7622070E-03
