 
 
average v2 in pt=1-2 GeV/c
-1*centrality, <v2>     , half width of,  stat. err.  , sys. err
                          centrality      of pi0 <v2>   of pi0 <v2>
-0.05        , 0.0933209, 0.05         , 0.0170345    , 0.0208554
-0.15        , 0.0815806, 0.05         , 0.0110249    , 0.00554878
-0.25        , 0.122306 , 0.05         , 0.00963473   , 0.0081178
-0.35        , 0.144664 , 0.05         , 0.0109585    , 0.00656415
-0.45        , 0.140160 , 0.05         , 0.0122052    , 0.00706926
-0.55        , 0.111614 , 0.05         , 0.0168013    , 0.0074546
-0.65        , 0.0495455, 0.05         , 0.0252700    , 0.0133273


average v2 in pt=2-10 GeV/c
-1*centrality, <v2>     , half width of,  stat. err.  , sys. err
                          centrality      of pi0 <v2>   of pi0 <v2>
-0.05        , 0.0755456, 0.05         , 0.0209528    , 0.0214158
-0.15        , 0.111944 , 0.05         , 0.0131656    , 0.0120488
-0.25        , 0.175036 , 0.05         , 0.0132642    , 0.00788964
-0.35        , 0.169052 , 0.05         , 0.0137064    , 0.0124212
-0.45        , 0.181826 , 0.05         , 0.0169309    , 0.00746491
-0.55        , 0.192707 , 0.05         , 0.0238669    , 0.0142988
-0.65        , 0.11728  , 0.05         , 0.0386752    , 0.0274726






pi0 v2 as a function of pT


top 20%
1.7 , 0.132694  , 0.1 , 0.1 , 0.00893355, 0.00893355 , 0.00693288
1.9 , 0.145329  , 0.1 , 0.1 , 0.0102869 , 0.0102869  , 0.00750757
2.1 , 0.152746  , 0.1 , 0.1 , 0.0105368 , 0.0105368  , 0.00712315
2.3 , 0.156561  , 0.1 , 0.1 , 0.0122551 , 0.0122551  , 0.0107139
2.5 , 0.150425  , 0.1 , 0.1 , 0.0139369 , 0.0139369  , 0.00750924
2.7 , 0.156917  , 0.1 , 0.1 , 0.0158045 , 0.0158045  , 0.0082143
2.9 , 0.141001  , 0.1 , 0.1 , 0.0183786 , 0.0183786  , 0.0108490
3.39, 0.157595  , 0.39, 0.61, 0.0124554 , 0.0124554  , 0.0114197
4.59, 0.128723  , 0.59, 1.41, 0.0198447 , 0.0198447  , 0.00859536
6.70, 0.137895  , 0.70, 1.30, 0.0559642 , 0.0559642  , 0.0155206
8.77, 0.104442  , 0.77, 1.23, 0.100614  , 0.100614   , 0.0698042

