A	0	2	4	23
A	1	2	4	22
A	2	2	4	17
A	3	2	4	11
A	4	2	4	4
A	5	2	4	5
A	6	2	5	23
A	7	2	5	22
A	8	2	5	17
A	9	2	5	11
A	10	2	5	4
A	11	2	5	5
A	12	2	6	23
A	13	2	6	22
A	14	2	6	17
A	15	2	6	11
A	16	2	9	22
A	17	2	9	23
A	18	2	8	5
A	19	2	8	4
A	20	2	8	11
A	21	2	8	17
A	22	2	8	22
A	23	2	8	23
A	24	2	7	5
A	25	2	7	4
A	26	2	7	11
A	27	2	7	17
A	28	2	7	22
A	29	2	7	23
A	30	2	6	5
A	31	2	6	4
A	32	3	1	5
A	33	3	1	4
A	34	3	1	11
A	35	3	1	17
A	36	3	1	22
A	37	3	1	23
A	38	3	0	5
A	39	3	0	4
A	40	3	0	11
A	41	3	0	17
A	42	3	0	22
A	43	3	0	23
A	44	2	9	5
A	45	2	9	4
A	46	2	9	11
A	47	2	9	17
A	48	3	4	11
A	49	3	4	17
A	50	3	4	22
A	51	3	4	23
A	52	3	3	5
A	53	3	3	4
A	54	3	3	11
A	55	3	3	17
A	56	3	3	22
A	57	3	3	23
A	58	3	2	5
A	59	3	2	4
A	60	3	2	11
A	61	3	2	17
A	62	3	2	22
A	63	3	2	23
A	64	3	4	4
A	65	3	4	5
A	66	3	5	23
A	67	3	5	22
A	68	3	5	17
A	69	3	5	11
A	70	3	5	4
A	71	3	5	5
A	72	3	6	23
A	73	3	6	22
A	74	3	6	17
A	75	3	6	11
A	76	3	6	4
A	77	3	6	5
A	78	3	7	23
A	79	3	7	22
A	80	3	9	5
A	81	3	9	4
A	82	3	9	11
A	83	3	9	17
A	84	3	9	22
A	85	3	9	23
A	86	3	8	5
A	87	3	8	4
A	88	3	8	11
A	89	3	8	17
A	90	3	8	22
A	91	3	8	23
A	92	3	7	5
A	93	3	7	4
A	94	3	7	11
A	95	3	7	17
B	0	2	4	21
B	1	2	4	16
B	2	2	4	15
B	3	2	4	9
B	4	2	4	10
B	5	2	4	3
B	6	2	5	21
B	7	2	5	16
B	8	2	5	15
B	9	2	5	9
B	10	2	5	10
B	11	2	5	3
B	12	2	6	21
B	13	2	6	16
B	14	2	6	15
B	15	2	6	9
B	16	2	9	16
B	17	2	9	21
B	18	2	8	3
B	19	2	8	10
B	20	2	8	9
B	21	2	8	15
B	22	2	8	16
B	23	2	8	21
B	24	2	7	3
B	25	2	7	10
B	26	2	7	9
B	27	2	7	15
B	28	2	7	16
B	29	2	7	21
B	30	2	6	3
B	31	2	6	10
B	32	3	1	3
B	33	3	1	10
B	34	3	1	9
B	35	3	1	15
B	36	3	1	16
B	37	3	1	21
B	38	3	0	3
B	39	3	0	10
B	40	3	0	9
B	41	3	0	15
B	42	3	0	16
B	43	3	0	21
B	44	2	9	3
B	45	2	9	10
B	46	2	9	9
B	47	2	9	15
B	48	3	4	9
B	49	3	4	15
B	50	3	4	16
B	51	3	4	21
B	52	3	3	3
B	53	3	3	10
B	54	3	3	9
B	55	3	3	15
B	56	3	3	16
B	57	3	3	21
B	58	3	2	3
B	59	3	2	10
B	60	3	2	9
B	61	3	2	15
B	62	3	2	16
B	63	3	2	21
B	64	3	4	10
B	65	3	4	3
B	66	3	5	21
B	67	3	5	16
B	68	3	5	15
B	69	3	5	9
B	70	3	5	10
B	71	3	5	3
B	72	3	6	21
B	73	3	6	16
B	74	3	6	15
B	75	3	6	9
