1 0.241E+03 0.754E+02 0.375E+00 0.279E+00 0.857E+03 0.295E+03 0.544E+02 0.223E+04 0.691E+03
2 0.240E+03 0.751E+02 0.374E+00 0.279E+00 0.855E+03 0.294E+03 0.544E+02 0.222E+04 0.689E+03
3 0.239E+03 0.747E+02 0.374E+00 0.278E+00 0.853E+03 0.293E+03 0.544E+02 0.221E+04 0.686E+03
4 0.239E+03 0.744E+02 0.374E+00 0.278E+00 0.850E+03 0.291E+03 0.544E+02 0.220E+04 0.682E+03
5 0.238E+03 0.739E+02 0.374E+00 0.278E+00 0.848E+03 0.290E+03 0.544E+02 0.219E+04 0.678E+03
6 0.237E+03 0.735E+02 0.374E+00 0.277E+00 0.846E+03 0.288E+03 0.544E+02 0.218E+04 0.673E+03
7 0.236E+03 0.730E+02 0.374E+00 0.277E+00 0.844E+03 0.286E+03 0.544E+02 0.216E+04 0.668E+03
8 0.236E+03 0.724E+02 0.373E+00 0.276E+00 0.842E+03 0.284E+03 0.544E+02 0.215E+04 0.663E+03
9 0.235E+03 0.718E+02 0.373E+00 0.275E+00 0.840E+03 0.282E+03 0.544E+02 0.213E+04 0.659E+03
10 0.234E+03 0.712E+02 0.373E+00 0.275E+00 0.838E+03 0.280E+03 0.544E+02 0.211E+04 0.654E+03
11 0.234E+03 0.705E+02 0.373E+00 0.274E+00 0.836E+03 0.277E+03 0.544E+02 0.209E+04 0.647E+03
12 0.233E+03 0.698E+02 0.373E+00 0.273E+00 0.834E+03 0.274E+03 0.544E+02 0.207E+04 0.640E+03
13 0.232E+03 0.690E+02 0.372E+00 0.272E+00 0.832E+03 0.272E+03 0.544E+02 0.205E+04 0.634E+03
14 0.232E+03 0.682E+02 0.372E+00 0.271E+00 0.829E+03 0.269E+03 0.544E+02 0.203E+04 0.628E+03
15 0.231E+03 0.691E+02 0.372E+00 0.274E+00 0.827E+03 0.273E+03 0.530E+02 0.200E+04 0.620E+03
16 0.230E+03 0.682E+02 0.372E+00 0.273E+00 0.824E+03 0.269E+03 0.530E+02 0.198E+04 0.611E+03
17 0.229E+03 0.673E+02 0.372E+00 0.272E+00 0.821E+03 0.266E+03 0.530E+02 0.195E+04 0.605E+03
18 0.228E+03 0.663E+02 0.371E+00 0.270E+00 0.818E+03 0.262E+03 0.530E+02 0.193E+04 0.595E+03
19 0.227E+03 0.652E+02 0.371E+00 0.269E+00 0.815E+03 0.258E+03 0.530E+02 0.190E+04 0.586E+03
20 0.226E+03 0.642E+02 0.371E+00 0.268E+00 0.812E+03 0.254E+03 0.530E+02 0.187E+04 0.578E+03
21 0.225E+03 0.648E+02 0.371E+00 0.270E+00 0.809E+03 0.257E+03 0.516E+02 0.184E+04 0.567E+03
22 0.224E+03 0.636E+02 0.370E+00 0.269E+00 0.805E+03 0.252E+03 0.516E+02 0.181E+04 0.558E+03
23 0.222E+03 0.624E+02 0.370E+00 0.267E+00 0.801E+03 0.248E+03 0.516E+02 0.177E+04 0.548E+03
24 0.221E+03 0.612E+02 0.370E+00 0.265E+00 0.797E+03 0.243E+03 0.516E+02 0.174E+04 0.537E+03
25 0.219E+03 0.599E+02 0.369E+00 0.264E+00 0.792E+03 0.239E+03 0.516E+02 0.171E+04 0.528E+03
26 0.218E+03 0.602E+02 0.369E+00 0.266E+00 0.788E+03 0.240E+03 0.502E+02 0.167E+04 0.516E+03
27 0.216E+03 0.589E+02 0.368E+00 0.264E+00 0.783E+03 0.235E+03 0.502E+02 0.164E+04 0.506E+03
28 0.215E+03 0.575E+02 0.368E+00 0.262E+00 0.778E+03 0.230E+03 0.502E+02 0.160E+04 0.493E+03
29 0.213E+03 0.561E+02 0.367E+00 0.261E+00 0.772E+03 0.225E+03 0.502E+02 0.157E+04 0.483E+03
30 0.211E+03 0.563E+02 0.367E+00 0.263E+00 0.767E+03 0.226E+03 0.488E+02 0.153E+04 0.470E+03
31 0.209E+03 0.548E+02 0.366E+00 0.261E+00 0.761E+03 0.220E+03 0.488E+02 0.149E+04 0.460E+03
32 0.207E+03 0.533E+02 0.366E+00 0.259E+00 0.754E+03 0.215E+03 0.488E+02 0.146E+04 0.446E+03
33 0.205E+03 0.518E+02 0.365E+00 0.256E+00 0.748E+03 0.209E+03 0.488E+02 0.142E+04 0.435E+03
34 0.203E+03 0.518E+02 0.365E+00 0.258E+00 0.741E+03 0.210E+03 0.475E+02 0.138E+04 0.422E+03
35 0.200E+03 0.502E+02 0.364E+00 0.256E+00 0.734E+03 0.204E+03 0.475E+02 0.134E+04 0.410E+03
36 0.198E+03 0.487E+02 0.363E+00 0.254E+00 0.727E+03 0.198E+03 0.475E+02 0.130E+04 0.399E+03
37 0.196E+03 0.485E+02 0.363E+00 0.255E+00 0.719E+03 0.198E+03 0.461E+02 0.127E+04 0.385E+03
38 0.193E+03 0.469E+02 0.362E+00 0.253E+00 0.711E+03 0.192E+03 0.461E+02 0.123E+04 0.374E+03
39 0.190E+03 0.453E+02 0.361E+00 0.251E+00 0.703E+03 0.186E+03 0.461E+02 0.119E+04 0.362E+03
40 0.188E+03 0.450E+02 0.360E+00 0.252E+00 0.695E+03 0.185E+03 0.448E+02 0.115E+04 0.348E+03
41 0.185E+03 0.434E+02 0.360E+00 0.250E+00 0.686E+03 0.179E+03 0.448E+02 0.111E+04 0.337E+03
42 0.182E+03 0.430E+02 0.359E+00 0.251E+00 0.677E+03 0.178E+03 0.435E+02 0.108E+04 0.325E+03
43 0.179E+03 0.414E+02 0.358E+00 0.249E+00 0.668E+03 0.172E+03 0.435E+02 0.104E+04 0.312E+03
