p_T 	p_T err 	N pi0 		N pi0 err 	stat err (rel) 	sys_err (Cancel in Centralities) 	sys_err ( No Cc ) || pt correlated errors  	 pt uncorrelated errors 
1.25 	0.05 		0.285131 	0.0430707 	0.0406129 	0.0831055 				0.119423 		0.0575024 		0.133648
1.75 	0.05 		0.0534965 	0.00816105 	0.0389577 	0.0891384 				0.117512 		0.0659216 		0.131943
2.25 	0.05 		0.0115103 	0.00181998 	0.0479754 	0.0943619 				0.117453 		0.0728297 		0.131891
2.75 	0.05 		0.00281003 	0.000485202 	0.0706979 	0.0989713 				0.122559 		0.0787103 		0.136457
3.25 	0.05 		0.000907186 	0.000160374 	0.0836324 	0.103102 				0.116736 		0.0838457 		0.131253
3.75 	0.05 		0.000310281 	5.40116e-05 	0.0699466 	0.106851 				0.118287 		0.0884146 		0.132634
4.25 	0.05 		0.000116282 	2.21564e-05 	0.0989141 	0.110287 				0.119827 		0.0925372 		0.134009
4.75 	0.05 		4.53337e-05 	1.03248e-05 	0.157849 	0.113461 				0.118664 		0.0962984 		0.13297
5.25 	0.05 		1.72295e-05 	4.90045e-06 	0.231774 	0.116414 				0.116725 		0.0997606 		0.131243
5.75 	0.05 		6.1014e-06 	4.66927e-06 	0.746135 	0.119176 				0.121374 		0.102971 		0.135394
6.25 	0.05 		6.51361e-06 	2.51742e-06 	0.34641 	0.121774 				0.120595 		0.105966 		0.134697
