  0.85      6.723422     0.5E-01 0.1235993    
  1.05      2.715173     0.5E-01 0.4599833E-01
  1.25      1.00860      0.5E-01 0.1788426E-01
  1.45     0.3975599     0.5E-01 0.7819292E-02
  1.65     0.1588546     0.5E-01 0.3677254E-02
  1.85     0.7211740E-01 0.5E-01 0.1946928E-02
  2.05     0.3157502E-01 0.5E-01 0.1066390E-02
  2.25     0.1403395E-01 0.5E-01 0.6394005E-03
  2.45     0.6682451E-02 0.5E-01 0.3986068E-03
  2.65     0.3059953E-02 0.5E-01 0.2571326E-03
  2.85     0.1212040E-02 0.5E-01 0.1767842E-03
  3.05     0.5696748E-03 0.5E-01 0.1237704E-03
  3.25     0.3176109E-03 0.5E-01 0.9276935E-04
  3.45     0.2219770E-03 0.5E-01 0.8286109E-04
  3.65     0.1131630E-03 0.5E-01 0.5583692E-04
  3.85     0.2607351E-04 0.5E-01 0.4237141E-04
  4.05     0.3802409E-04 0.5E-01 0.3630953E-04
  4.25     0.2750625E-04 0.5E-01 0.2991816E-04
  4.45     0.2370400E-04 0.5E-01 0.2487291E-04
  4.65     0.3752760E-04 0.5E-01 0.2092358E-04
  4.85     0.1325005E-04 0.5E-01 0.2073019E-04
