 0.5500000     0.5897308     0.5000001E-01 0.4496654E-01
 0.6500000     0.4180514     0.4999998E-01 0.2522426E-01
 0.7500000     0.2430156     0.5000001E-01 0.1277936E-01
 0.8500000     0.1522792     0.5000001E-01 0.7497500E-02
 0.9500000     0.7905148E-01 0.4999998E-01 0.4218327E-02
  1.050000     0.4898030E-01 0.5000001E-01 0.2663609E-02
  1.150000     0.3294197E-01 0.5000001E-01 0.1820817E-02
  1.250000     0.1951350E-01 0.5000001E-01 0.1195432E-02
  1.350000     0.1213298E-01 0.4999995E-01 0.8310223E-03
  1.450000     0.7441341E-02 0.5000001E-01 0.5520108E-03
  1.550000     0.5414402E-02 0.5000001E-01 0.4198076E-03
  1.650000     0.2837006E-02 0.5000001E-01 0.2656177E-03
  1.750000     0.1834384E-02 0.5000001E-01 0.2063449E-03
  1.850000     0.9911323E-03 0.4999995E-01 0.1404002E-03
  1.950000     0.8102427E-03 0.5000001E-01 0.1162267E-03
  2.050000     0.4756045E-03 0.5000007E-01 0.8500961E-04
  2.150000     0.3278897E-03 0.4999995E-01 0.7016859E-04
  2.250000     0.1493509E-03 0.4999995E-01 0.4811240E-04
  2.350000     0.1074086E-03 0.5000007E-01 0.3069578E-04
  2.450000     0.1065688E-03 0.4999995E-01 0.3687672E-04
  2.550000     0.5024220E-04 0.5000007E-01 0.2332161E-04
  2.650000     0.4653940E-04 0.4999995E-01 0.2326924E-04
  2.750000     0.6056598E-05 0.4999995E-01 0.1382318E-04
  2.850000     0.1401524E-04 0.5000007E-01 0.1513797E-04
  2.950000     0.4766638E-04 0.4999995E-01 0.1945388E-04
  3.050000     0.1581709E-04 0.5000007E-01 0.1264396E-04
  3.150000     0.2343421E-05 0.4999995E-01 0.1013702E-04
  3.250000     0.1674455E-05 0.4999995E-01 0.5150418E-05
  3.450000     0.1074383E-04 0.4999995E-01 0.1304452E-04
  3.550000     0.2680944E-05 0.5000007E-01 0.3919233E-05
  4.050000     0.1403911E-05 0.4999995E-01 0.4629442E-05
  4.150000     0.3859535E-05 0.5000019E-01 0.4592909E-05
  4.250000     0.4027281E-05 0.4999995E-01 0.4544315E-05
  4.350000     0.7398372E-06 0.4999995E-01 0.4053376E-05
  4.450000     0.2708589E-05 0.4999995E-01 0.3718145E-05
  4.550000     0.6104669E-05 0.4999995E-01 0.5098808E-05
  4.650000     0.6172600E-05 0.5000019E-01 0.6851906E-05
  4.750000     0.2284188E-05 0.4999995E-01 0.3198522E-05
  4.850000     0.1752860E-07 0.4999995E-01 0.1166744E-05



 0.1500000      3.818225     0.5000000E-01  16.55676    
 0.2500000      1.407743     0.5000000E-01 0.9451166    
 0.3500000      1.096177     0.5000000E-01 0.2576561    
 0.4500000     0.9814242     0.5000000E-01 0.1021264    
