  0.75      10.54785     0.5E-01 0.2161976    
  1.05      2.715173     0.5E-01 0.4599833E-01
  1.25      1.008600     0.5E-01 0.1788426E-01
  1.45     0.3975599     0.5E-01 0.7819292E-02
  1.65     0.1588546     0.5E-01 0.3677254E-02
  1.85     0.7211740E-01 0.5E-01 0.1946928E-02
  2.10     0.2690209E-01 0.1     0.6822204E-03
  2.30     0.1188883E-01 0.1     0.4020373E-03
  2.50     0.5284201E-02 0.1     0.2458300E-03
  2.70     0.2549552E-02 0.1	 0.1619871E-03
  2.90     0.1139844E-02 0.1     0.1123272E-03
  3.10     0.4670758E-03 0.1     0.8092013E-04
  3.30     0.2387792E-03 0.1     0.6113994E-04
  3.50     0.1888909E-03 0.1	 0.5267832E-04
  3.70     0.8895971E-04 0.1	 0.3636992E-04
  3.90     0.6075875E-04 0.1     0.2832595E-04
  4.10     0.5115618E-04 0.1     0.2416750E-04
  4.30     0.5398489E-05 0.1	 0.1924909E-04
