1001,  3.200, 11.630, 146.720
1002, -1.900, 11.710, 144.350
1003,  4.680, 11.890, 144.350
1004, -0.280, 10.860, 144.350
1005, -4.490, 10.090, 145.790
2001,  1.540, 13.350, -144.350
2002, -2.090, 11.510, -146.230
2003,  5.860, 11.200, -144.350
2004, -0.070, 10.710, -144.350
2005, -4.270, 11.780, -144.350
