 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 0 (0 - 10%) from raw yields file: yields_0_10_tof1chisq1.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.14815e+06 +/- 1774.3
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    2.420e+00    3.445e-01    14.24    2.008e-02    3.439e-01    3.143e-01    1.210e-01
  1.75  0.05    4.405e-01    6.295e-02    14.29    4.118e-03    6.282e-02    5.724e-02    2.202e-02
  2.25  0.05    9.032e-02    1.302e-02    14.42    1.121e-03    1.298e-02    1.176e-02    4.516e-03
  2.75  0.05    2.117e-02    3.094e-03    14.61    3.651e-04    3.072e-03    2.768e-03    1.059e-03
  3.25  0.05    5.704e-03    8.471e-04    14.85    1.262e-04    8.376e-04    7.501e-04    2.852e-04
  3.75  0.05    1.838e-03    2.782e-04    15.13    5.086e-05    2.735e-04    2.436e-04    9.190e-05
  4.25  0.05    6.115e-04    9.511e-05    15.55    2.304e-05    9.227e-05    8.254e-05    3.058e-05
  4.75  0.05    2.838e-04    4.494e-05    15.84    1.151e-05    4.345e-05    3.854e-05    1.419e-05
  5.25  0.05    1.180e-04    1.941e-05    16.45    6.365e-06    1.834e-05    1.657e-05    5.901e-06
  5.75  0.05    4.825e-05    8.484e-06    17.59    3.753e-06    7.609e-06    7.293e-06    2.412e-06
  6.25  0.05    2.353e-05    4.418e-06    18.78    2.310e-06    3.766e-06    3.826e-06    1.177e-06
  6.75  0.05    1.301e-05    2.587e-06    19.89    1.493e-06    2.113e-06    2.253e-06    6.505e-07
  7.25  0.05    8.550e-06    1.802e-06    21.08    1.124e-06    1.408e-06    1.579e-06    4.275e-07
  7.75  0.05    5.747e-06    1.288e-06    22.40    8.583e-07    9.597e-07    1.137e-06    2.874e-07
  8.25  0.05    3.543e-06    8.557e-07    24.15    6.105e-07    5.996e-07    7.640e-07    1.772e-07
  8.75  0.05    1.676e-06    5.001e-07    29.84    4.094e-07    2.873e-07    4.634e-07    8.380e-08
  9.25  0.05    1.523e-06    4.670e-07    30.66    3.849e-07    2.644e-07    4.326e-07    7.615e-08
  9.75  0.05    7.400e-07    2.880e-07    38.92    2.570e-07    1.300e-07    2.743e-07    3.700e-08


