 <I> Constructing full-corrected noPID spectrum for centrality class: 4 (20 - 30%) from raw yields file: yields_20_30_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.12955e+06 +/- 1769.05
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    1.702e+00    2.424e-01    14.24    1.505e-02    2.419e-01    2.211e-01    8.509e-02
  1.71  0.05    2.883e-01    4.121e-02    14.30    2.868e-03    4.111e-02    3.747e-02    1.441e-02
  2.22  0.05    5.751e-02    8.293e-03    14.42    7.237e-04    8.262e-03    7.489e-03    2.875e-03
  2.72  0.05    1.369e-02    1.999e-03    14.60    2.213e-04    1.986e-03    1.788e-03    6.845e-04
  3.22  0.05    4.010e-03    5.940e-04    14.81    7.812e-05    5.889e-04    5.256e-04    2.005e-04
  3.73  0.05    1.320e-03    1.991e-04    15.08    3.237e-05    1.965e-04    1.742e-04    6.602e-05
  4.23  0.05    4.458e-04    6.891e-05    15.46    1.499e-05    6.726e-05    5.969e-05    2.229e-05
  4.73  0.05    1.696e-04    2.708e-05    15.96    7.663e-06    2.597e-05    2.328e-05    8.481e-06
  5.23  0.05    7.615e-05    1.263e-05    16.59    4.422e-06    1.183e-05    1.081e-05    3.807e-06
  5.73  0.05    4.334e-05    7.428e-06    17.14    2.910e-06    6.835e-06    6.326e-06    2.167e-06
  6.23  0.05    1.451e-05    2.849e-06    19.63    1.650e-06    2.323e-06    2.502e-06    7.257e-07
  6.73  0.05    8.692e-06    1.841e-06    21.18    1.182e-06    1.412e-06    1.633e-06    4.346e-07
  7.24  0.05    4.056e-06    1.005e-06    24.78    7.510e-07    6.681e-07    9.167e-07    2.028e-07
  7.74  0.05    3.395e-06    8.658e-07    25.50    6.543e-07    5.669e-07    7.885e-07    1.697e-07


