 <I> Constructing full-corrected noPID spectrum for centrality class: 6 (30 - 40%) from raw yields file: yields_30_40_noPID.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.13972e+06 +/- 1771.92
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.233e+00    1.755e-01    14.24    1.017e-02    1.752e-01    1.601e-01    6.164e-02
  1.75  0.05    1.994e-01    2.850e-02    14.30    1.936e-03    2.843e-02    2.591e-02    9.968e-03
  2.25  0.05    4.009e-02    5.781e-03    14.42    4.949e-04    5.759e-03    5.220e-03    2.004e-03
  2.75  0.05    9.630e-03    1.405e-03    14.59    1.465e-04    1.397e-03    1.257e-03    4.815e-04
  3.25  0.05    2.557e-03    3.791e-04    14.83    5.272e-05    3.754e-04    3.355e-04    1.278e-04
  3.75  0.05    8.144e-04    1.232e-04    15.13    2.236e-05    1.212e-04    1.079e-04    4.072e-05
  4.25  0.05    3.126e-04    4.844e-05    15.50    1.105e-05    4.717e-05    4.200e-05    1.563e-05
  4.75  0.05    1.259e-04    2.019e-05    16.04    6.016e-06    1.927e-05    1.739e-05    6.294e-06
  5.25  0.05    5.217e-05    8.873e-06    17.01    3.606e-06    8.107e-06    7.664e-06    2.609e-06
  5.75  0.05    2.120e-05    3.957e-06    18.67    2.117e-06    3.343e-06    3.468e-06    1.060e-06
  6.25  0.05    1.397e-05    2.674e-06    19.15    1.467e-06    2.236e-06    2.330e-06    6.984e-07
  6.75  0.05    8.003e-06    1.694e-06    21.17    1.086e-06    1.300e-06    1.502e-06    4.001e-07
  7.25  0.05    4.757e-06    1.111e-06    23.36    7.880e-07    7.836e-07    1.001e-06    2.379e-07
  7.75  0.05    3.015e-06    7.928e-07    26.29    6.124e-07    5.035e-07    7.265e-07    1.508e-07
