 <I> Constructing full-corrected noPID spectrum for centrality class: 12 (60 - 70%) from raw yields file: yields_60_70_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.18131e+06 +/- 1783.62
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    2.147e-01    3.059e-02    14.25    2.226e-03    3.051e-02    2.791e-02    1.073e-02
  1.71  0.05    3.436e-02    4.921e-03    14.32    4.438e-04    4.901e-03    4.476e-03    1.718e-03
  2.22  0.05    7.179e-03    1.038e-03    14.46    1.206e-04    1.031e-03    9.383e-04    3.589e-04
  2.72  0.05    1.781e-03    2.615e-04    14.68    3.976e-05    2.585e-04    2.343e-04    8.906e-05
  3.22  0.05    5.433e-04    8.151e-05    15.00    1.669e-05    7.978e-05    7.237e-05    2.717e-05
  3.73  0.05    1.759e-04    2.734e-05    15.54    7.898e-06    2.617e-05    2.413e-05    8.795e-06
  4.23  0.05    7.287e-05    1.188e-05    16.30    4.494e-06    1.100e-05    1.046e-05    3.644e-06
  4.73  0.05    2.754e-05    4.893e-06    17.77    2.484e-06    4.216e-06    4.348e-06    1.377e-06
  5.23  0.05    1.110e-05    2.231e-06    20.10    1.415e-06    1.725e-06    2.018e-06    5.552e-07
  5.73  0.05    7.120e-06    1.556e-06    21.86    1.077e-06    1.123e-06    1.419e-06    3.560e-07
  6.23  0.05    2.723e-06    7.647e-07    28.08    6.283e-07    4.358e-07    7.207e-07    1.361e-07
  6.73  0.05    2.111e-06    6.153e-07    29.15    5.110e-07    3.428e-07    5.796e-07    1.056e-07
  7.24  0.05    4.865e-07    2.561e-07    52.64    2.433e-07    8.014e-08    2.513e-07    2.433e-08
  7.74  0.05    2.257e-07    1.640e-07    72.66    1.596e-07    3.769e-08    1.622e-07    1.128e-08


