 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 10 (50 - 60%) from raw yields file: yields_50_60_tof1chisq1.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.15894e+06 +/- 1777.34
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    3.485e-01    4.959e-02    14.23    2.282e-03    4.954e-02    4.523e-02    1.743e-02
  1.75  0.05    5.967e-02    8.523e-03    14.28    4.758e-04    8.510e-03    7.748e-03    2.983e-03
  2.25  0.05    1.261e-02    1.817e-03    14.41    1.420e-04    1.812e-03    1.641e-03    6.306e-04
  2.75  0.05    3.156e-03    4.608e-04    14.60    5.136e-05    4.579e-04    4.122e-04    1.578e-04
  3.25  0.05    9.402e-04    1.397e-04    14.86    2.155e-05    1.381e-04    1.238e-04    4.701e-05
  3.75  0.05    3.308e-04    5.035e-05    15.22    1.057e-05    4.923e-05    4.417e-05    1.654e-05
  4.25  0.05    1.127e-04    1.791e-05    15.88    5.592e-06    1.701e-05    1.564e-05    5.636e-06
  4.75  0.05    4.968e-05    8.273e-06    16.65    3.254e-06    7.607e-06    7.215e-06    2.484e-06
  5.25  0.05    2.081e-05    3.790e-06    18.21    1.977e-06    3.234e-06    3.344e-06    1.041e-06
  5.75  0.05    1.212e-05    2.377e-06    19.62    1.413e-06    1.911e-06    2.113e-06    6.058e-07
  6.25  0.05    3.925e-06    9.940e-07    25.32    7.703e-07    6.282e-07    9.231e-07    1.962e-07
  6.75  0.05    2.981e-06    8.245e-07    27.66    6.674e-07    4.841e-07    7.712e-07    1.491e-07
  7.25  0.05    8.626e-07    3.556e-07    41.23    3.260e-07    1.421e-07    3.447e-07    4.313e-08
  7.75  0.05    6.867e-07    3.029e-07    44.11    2.803e-07    1.147e-07    2.941e-07    3.433e-08


