 <I> Constructing full-corrected noPID spectrum for centrality class: 8 (40 - 50%) from raw yields file: yields_40_50_noPID.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.18171e+06 +/- 1783.74
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    7.677e-01    1.093e-01    14.24    6.450e-03    1.091e-01    9.971e-02    3.838e-02
  1.75  0.05    1.292e-01    1.847e-02    14.29    1.231e-03    1.843e-02    1.679e-02    6.461e-03
  2.25  0.05    2.500e-02    3.605e-03    14.42    3.183e-04    3.591e-03    3.256e-03    1.250e-03
  2.75  0.05    6.153e-03    8.981e-04    14.60    9.686e-05    8.928e-04    8.034e-04    3.076e-04
  3.25  0.05    1.767e-03    2.620e-04    14.83    3.650e-05    2.594e-04    2.319e-04    8.833e-05
  3.75  0.05    5.503e-04    8.347e-05    15.17    1.627e-05    8.187e-05    7.316e-05    2.751e-05
  4.25  0.05    2.085e-04    3.257e-05    15.62    8.420e-06    3.146e-05    2.830e-05    1.042e-05
  4.75  0.05    8.650e-05    1.406e-05    16.25    4.709e-06    1.324e-05    1.216e-05    4.325e-06
  5.25  0.05    3.824e-05    6.600e-06    17.26    2.873e-06    5.942e-06    5.729e-06    1.912e-06
  5.75  0.05    1.998e-05    3.659e-06    18.31    1.860e-06    3.151e-06    3.189e-06    9.991e-07
  6.25  0.05    8.713e-06    1.820e-06    20.88    1.169e-06    1.394e-06    1.625e-06    4.356e-07
  6.75  0.05    4.659e-06    1.116e-06    23.96    8.207e-07    7.565e-07    1.019e-06    2.329e-07
  7.25  0.05    3.643e-06    8.963e-07    24.60    6.658e-07    6.001e-07    8.162e-07    1.822e-07
  7.75  0.05    1.584e-06    5.041e-07    31.83    4.291e-07    2.645e-07    4.757e-07    7.919e-08
