 <I> Constructing full-corrected noPID spectrum for centrality class: 6 (30 - 40%) from raw yields file: yields_30_40_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.13972e+06 +/- 1771.92
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.043e+00    1.485e-01    14.24    8.606e-03    1.482e-01    1.354e-01    5.214e-02
  1.75  0.05    1.763e-01    2.520e-02    14.30    1.712e-03    2.514e-02    2.291e-02    8.814e-03
  2.25  0.05    3.648e-02    5.260e-03    14.42    4.503e-04    5.241e-03    4.750e-03    1.824e-03
  2.75  0.05    8.939e-03    1.304e-03    14.59    1.360e-04    1.297e-03    1.167e-03    4.469e-04
  3.25  0.05    2.407e-03    3.569e-04    14.83    4.963e-05    3.534e-04    3.159e-04    1.203e-04
  3.75  0.05    7.748e-04    1.172e-04    15.13    2.127e-05    1.153e-04    1.027e-04    3.874e-05
  4.25  0.05    2.998e-04    4.646e-05    15.50    1.059e-05    4.523e-05    4.027e-05    1.499e-05
  4.75  0.05    1.215e-04    1.948e-05    16.04    5.805e-06    1.860e-05    1.678e-05    6.074e-06
  5.25  0.05    5.059e-05    8.604e-06    17.01    3.497e-06    7.861e-06    7.432e-06    2.530e-06
  5.75  0.05    2.064e-05    3.852e-06    18.67    2.061e-06    3.255e-06    3.377e-06    1.032e-06
  6.25  0.05    1.364e-05    2.612e-06    19.15    1.433e-06    2.183e-06    2.276e-06    6.821e-07
  6.75  0.05    7.838e-06    1.659e-06    21.17    1.064e-06    1.273e-06    1.471e-06    3.919e-07
  7.25  0.05    4.670e-06    1.091e-06    23.36    7.735e-07    7.691e-07    9.822e-07    2.335e-07
  7.75  0.05    2.965e-06    7.797e-07    26.29    6.022e-07    4.952e-07    7.144e-07    1.483e-07


