 <I> Constructing full-corrected noPID spectrum for centrality class: 10 (50 - 60%) from raw yields file: yields_50_60_noPID.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.15894e+06 +/- 1777.34
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    4.205e-01    5.988e-02    14.24    3.763e-03    5.976e-02    5.463e-02    2.102e-02
  1.75  0.05    7.037e-02    1.006e-02    14.30    7.365e-04    1.004e-02    9.151e-03    3.518e-03
  2.25  0.05    1.489e-02    2.148e-03    14.43    1.964e-04    2.139e-03    1.940e-03    7.445e-04
  2.75  0.05    3.519e-03    5.147e-04    14.63    6.433e-05    5.106e-04    4.606e-04    1.760e-04
  3.25  0.05    1.025e-03    1.526e-04    14.88    2.499e-05    1.505e-04    1.352e-04    5.126e-05
  3.75  0.05    3.428e-04    5.233e-05    15.27    1.172e-05    5.100e-05    4.595e-05    1.714e-05
  4.25  0.05    1.227e-04    1.950e-05    15.89    6.121e-06    1.851e-05    1.704e-05    6.135e-06
  4.75  0.05    5.419e-05    8.978e-06    16.57    3.433e-06    8.296e-06    7.817e-06    2.709e-06
  5.25  0.05    2.228e-05    4.037e-06    18.12    2.078e-06    3.462e-06    3.557e-06    1.114e-06
  5.75  0.05    1.256e-05    2.459e-06    19.59    1.458e-06    1.980e-06    2.185e-06    6.278e-07
  6.25  0.05    4.472e-06    1.084e-06    24.25    8.147e-07    7.157e-07    9.998e-07    2.236e-07
  6.75  0.05    3.102e-06    8.387e-07    27.03    6.705e-07    5.038e-07    7.818e-07    1.551e-07
  7.25  0.05    8.467e-07    3.491e-07    41.23    3.200e-07    1.395e-07    3.383e-07    4.234e-08
  7.75  0.05    7.840e-07    3.240e-07    41.32    2.963e-07    1.309e-07    3.133e-07    3.920e-08
