 <I> Constructing full-corrected r345 spectrum for pi0 and centrality class: 8 (40 - 50%) from raw yields file: yields_40_50_r345.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 1.29833e+06 +/- 657.858
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    6.531e-01    9.320e-02    14.27    8.364e-03    9.282e-02    8.506e-02    3.265e-02
  1.75  0.05    1.109e-01    1.591e-02    14.34    1.666e-03    1.582e-02    1.448e-02    5.547e-03
  2.25  0.05    2.313e-02    3.353e-03    14.49    4.440e-04    3.324e-03    3.031e-03    1.157e-03
  2.75  0.05    5.440e-03    8.013e-04    14.73    1.377e-04    7.894e-04    7.185e-04    2.720e-04
  3.25  0.05    1.612e-03    2.426e-04    15.05    5.297e-05    2.368e-04    2.156e-04    8.062e-05
  3.75  0.05    5.193e-04    8.098e-05    15.60    2.427e-05    7.726e-05    7.154e-05    2.596e-05
  4.25  0.05    1.947e-04    3.190e-05    16.38    1.243e-05    2.938e-05    2.813e-05    9.734e-06
  4.75  0.05    8.805e-05    1.521e-05    17.27    7.037e-06    1.348e-05    1.341e-05    4.403e-06
  5.25  0.05    3.929e-05    7.539e-06    19.19    4.423e-06    6.105e-06    6.745e-06    1.964e-06
  5.75  0.05    1.833e-05    3.999e-06    21.81    2.762e-06    2.892e-06    3.644e-06    9.167e-07
  6.25  0.05    9.757e-06    2.474e-06    25.36    1.919e-06    1.562e-06    2.299e-06    4.878e-07
  6.75  0.05    2.848e-06    1.174e-06    41.22    1.079e-06    4.624e-07    1.140e-06    1.424e-07
  7.25  0.05    2.918e-06    1.106e-06    37.92    9.964e-07    4.805e-07    1.066e-06    1.459e-07
  7.75  0.05    1.068e-06    5.631e-07    52.71    5.341e-07    1.784e-07    5.517e-07    5.341e-08


