 <I> Constructing full-corrected noPID spectrum for centrality class: 17 (60 - 92%) from raw yields file: yields_60_92_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 9.84701e+06 +/- 3137.99
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    1.236e-01    1.760e-02    14.24    1.013e-03    1.757e-02    1.594e-02    6.180e-03
  1.71  0.05    1.952e-02    2.791e-03    14.30    2.010e-04    2.783e-03    2.483e-03    9.758e-04
  2.22  0.05    4.047e-03    5.840e-04    14.43    5.427e-05    5.815e-04    5.098e-04    2.024e-04
  2.72  0.05    1.004e-03    1.468e-04    14.62    1.763e-05    1.457e-04    1.259e-04    5.022e-05
  3.22  0.05    3.013e-04    4.485e-05    14.88    7.305e-06    4.425e-05    3.790e-05    1.507e-05
  3.73  0.05    9.810e-05    1.499e-05    15.28    3.428e-06    1.460e-05    1.257e-05    4.905e-06
  4.23  0.05    3.949e-05    6.260e-06    15.85    1.918e-06    5.959e-06    5.248e-06    1.974e-06
  4.73  0.05    1.488e-05    2.506e-06    16.85    1.046e-06    2.278e-06    2.128e-06    7.438e-07
  5.23  0.05    6.910e-06    1.267e-06    18.34    6.735e-07    1.074e-06    1.100e-06    3.455e-07
  5.73  0.05    3.518e-06    7.124e-07    20.25    4.467e-07    5.549e-07    6.332e-07    1.759e-07
  6.23  0.05    1.544e-06    3.693e-07    23.92    2.744e-07    2.471e-07    3.396e-07    7.719e-08
  6.73  0.05    8.310e-07    2.252e-07    27.10    1.803e-07    1.349e-07    2.109e-07    4.155e-08
  7.24  0.05    2.824e-07    1.164e-07    41.23    1.067e-07    4.652e-08    1.133e-07    1.412e-08
  7.74  0.05    1.873e-07    8.942e-08    47.74    8.377e-08    3.128e-08    8.758e-08    9.366e-09


