 <I> Constructing full-corrected noPID spectrum for centrality class: 14 (70 - 80%) from raw yields file: yields_70_80_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.11805e+06 +/- 1765.8
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    8.031e-02    1.146e-02    14.27    1.000e-03    1.141e-02    1.046e-02    4.015e-03
  1.75  0.05    1.377e-02    1.975e-03    14.34    2.120e-04    1.964e-03    1.797e-03    6.884e-04
  2.25  0.05    2.920e-03    4.241e-04    14.52    6.155e-05    4.196e-04    3.835e-04    1.460e-04
  2.75  0.05    7.282e-04    1.080e-04    14.83    2.219e-05    1.057e-04    9.695e-05    3.641e-05
  3.25  0.05    2.495e-04    3.798e-05    15.22    1.001e-05    3.664e-05    3.386e-05    1.248e-05
  3.75  0.05    8.022e-05    1.288e-05    16.05    4.826e-06    1.194e-05    1.146e-05    4.011e-06
  4.25  0.05    3.396e-05    5.898e-06    17.37    2.921e-06    5.124e-06    5.282e-06    1.698e-06
  4.75  0.05    1.063e-05    2.191e-06    20.61    1.467e-06    1.628e-06    2.012e-06    5.315e-07
  5.25  0.05    7.299e-06    1.664e-06    22.79    1.217e-06    1.134e-06    1.542e-06    3.650e-07
  5.75  0.05    2.589e-06    7.823e-07    30.21    6.673e-07    4.084e-07    7.469e-07    1.295e-07
  6.25  0.05    7.858e-07    4.096e-07    52.13    3.898e-07    1.258e-07    4.029e-07    3.929e-08
  6.75  0.05    2.705e-07    1.963e-07    72.55    1.913e-07    4.393e-08    1.945e-07    1.353e-08
  7.25  0.05    2.501e-07    1.816e-07    72.60    1.769e-07    4.119e-08    1.798e-07    1.251e-08
  7.75  0.05    1.163e-07    1.180e-07    101.38    1.163e-07    1.943e-08    1.173e-07    5.817e-09


