 <I> Constructing full-corrected noPID spectrum for centrality class: 19 (0 - 100%) from raw yields file: yields_0_100_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 2.87821e+07 +/- 5364.9
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    1.139e+00    1.619e-01    14.22    5.124e-03    1.618e-01    1.477e-01    5.693e-02
  1.71  0.05    1.930e-01    2.754e-02    14.27    9.975e-04    2.753e-02    2.504e-02    9.650e-03
  2.22  0.05    3.873e-02    5.570e-03    14.38    2.567e-04    5.564e-03    5.026e-03    1.936e-03
  2.72  0.05    9.006e-03    1.309e-03    14.53    7.396e-05    1.307e-03    1.170e-03    4.503e-04
  3.22  0.05    2.513e-03    3.699e-04    14.72    2.524e-05    3.690e-04    3.267e-04    1.257e-04
  3.73  0.05    7.873e-04    1.176e-04    14.93    9.930e-06    1.171e-04    1.025e-04    3.937e-05
  4.23  0.05    2.777e-04    4.214e-05    15.17    4.470e-06    4.191e-05    3.627e-05    1.389e-05
  4.73  0.05    1.137e-04    1.755e-05    15.44    2.260e-06    1.740e-05    1.490e-05    5.683e-06
  5.23  0.05    4.873e-05    7.678e-06    15.76    1.273e-06    7.572e-06    6.443e-06    2.436e-06
  5.73  0.05    2.229e-05    3.598e-06    16.14    7.677e-07    3.515e-06    2.989e-06    1.114e-06
  6.23  0.05    1.030e-05    1.715e-06    16.65    4.740e-07    1.648e-06    1.416e-06    5.148e-07
  6.74  0.05    6.143e-06    1.051e-06    17.10    3.299e-07    9.976e-07    8.619e-07    3.072e-07
  7.24  0.05    3.266e-06    5.853e-07    17.92    2.308e-07    5.379e-07    4.821e-07    1.633e-07
  7.74  0.05    2.216e-06    4.100e-07    18.50    1.765e-07    3.701e-07    3.371e-07    1.108e-07
  8.24  0.05    1.185e-06    2.337e-07    19.73    1.201e-07    2.005e-07    1.949e-07    5.923e-08
  8.74  0.05    8.486e-07    1.750e-07    20.63    9.730e-08    1.455e-07    1.469e-07    4.243e-08
  9.24  0.05    5.184e-07    1.168e-07    22.54    7.451e-08    9.001e-08    1.003e-07    2.592e-08
  9.74  0.05    2.879e-07    7.653e-08    26.59    5.743e-08    5.059e-08    6.849e-08    1.439e-08
  10.24  0.05    1.762e-07    5.116e-08    29.03    4.044e-08    3.133e-08    4.644e-08    8.812e-09
  10.74  0.05    1.509e-07    4.473e-08    29.64    3.556e-08    2.713e-08    4.058e-08    7.544e-09
  11.24  0.05    1.038e-07    3.442e-08    33.16    2.879e-08    1.887e-08    3.178e-08    5.190e-09
  11.74  0.05    7.243e-08    2.754e-08    38.02    2.411e-08    1.330e-08    2.587e-08    3.621e-09


