 <I> Constructing full-corrected r678 spectrum for pi0 and centrality class: 10 (50 - 60%) from raw yields file: yields_50_60_r678.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 1.28731e+06 +/- 655.059
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    3.535e-01    5.047e-02    14.28    4.837e-03    5.024e-02    4.607e-02    1.767e-02
  1.75  0.05    5.879e-02    8.443e-03    14.36    9.879e-04    8.385e-03    7.684e-03    2.940e-03
  2.25  0.05    1.268e-02    1.841e-03    14.52    2.686e-04    1.821e-03    1.665e-03    6.338e-04
  2.75  0.05    3.103e-03    4.592e-04    14.80    8.971e-05    4.503e-04    4.121e-04    1.552e-04
  3.25  0.05    8.716e-04    1.327e-04    15.22    3.491e-05    1.280e-04    1.182e-04    4.358e-05
  3.75  0.05    3.086e-04    4.890e-05    15.85    1.682e-05    4.591e-05    4.339e-05    1.543e-05
  4.25  0.05    1.167e-04    1.977e-05    16.95    9.002e-06    1.761e-05    1.760e-05    5.834e-06
  4.75  0.05    5.120e-05    9.506e-06    18.57    5.377e-06    7.839e-06    8.542e-06    2.560e-06
  5.25  0.05    1.911e-05    4.193e-06    21.94    2.960e-06    2.970e-06    3.859e-06    9.555e-07
  5.75  0.05    1.293e-05    3.084e-06    23.85    2.314e-06    2.039e-06    2.857e-06    6.464e-07
  6.25  0.05    4.626e-06    1.605e-06    34.70    1.424e-06    7.404e-07    1.545e-06    2.313e-07
  6.75  0.05    2.846e-06    1.146e-06    40.27    1.049e-06    4.622e-07    1.112e-06    1.423e-07
  7.25  0.05    2.041e-06    8.414e-07    41.23    7.713e-07    3.361e-07    8.154e-07    1.020e-07
  7.75  0.05    5.409e-07    4.771e-07    88.20    4.684e-07    9.033e-08    4.737e-07    2.705e-08


