 <I> Constructing full-corrected noPID spectrum for centrality class: 18 (60 - 80%) from raw yields file: yields_60_80_noPID.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 6.29936e+06 +/- 2509.85
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    1.539e-01    2.191e-02    14.24    1.259e-03    2.188e-02    1.999e-02    7.695e-03
  1.71  0.05    2.485e-02    3.553e-03    14.30    2.524e-04    3.544e-03    3.230e-03    1.242e-03
  2.22  0.05    5.181e-03    7.476e-04    14.43    6.914e-05    7.444e-04    6.751e-04    2.591e-04
  2.72  0.05    1.282e-03    1.875e-04    14.62    2.317e-05    1.861e-04    1.678e-04    6.411e-05
  3.22  0.05    4.014e-04    5.977e-05    14.89    9.873e-06    5.895e-05    5.296e-05    2.007e-05
  3.73  0.05    1.293e-04    1.979e-05    15.31    4.681e-06    1.923e-05    1.739e-05    6.463e-06
  4.23  0.05    5.386e-05    8.565e-06    15.90    2.704e-06    8.126e-06    7.486e-06    2.693e-06
  4.73  0.05    1.902e-05    3.255e-06    17.11    1.453e-06    2.913e-06    2.862e-06    9.512e-07
  5.23  0.05    9.246e-06    1.715e-06    18.55    9.370e-07    1.437e-06    1.521e-06    4.623e-07
  5.73  0.05    4.838e-06    9.939e-07    20.54    6.368e-07    7.630e-07    8.937e-07    2.419e-07
  6.23  0.05    1.784e-06    4.683e-07    26.25    3.712e-07    2.855e-07    4.373e-07    8.918e-08
  6.73  0.05    1.199e-06    3.368e-07    28.08    2.747e-07    1.948e-07    3.157e-07    5.997e-08
  7.24  0.05    3.686e-07    1.623e-07    44.02    1.505e-07    6.071e-08    1.579e-07    1.843e-08
  7.74  0.05    1.710e-07    1.027e-07    60.10    9.870e-08    2.855e-08    1.012e-07    8.548e-09


