 <I> Constructing full-corrected noPID spectrum for centrality class: 4 (20 - 30%) from raw yields file: yields_20_30_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.12955e+06 +/- 1769.05
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.434e+00    2.042e-01    14.24    1.268e-02    2.038e-01    1.863e-01    7.169e-02
  1.75  0.05    2.541e-01    3.633e-02    14.30    2.528e-03    3.624e-02    3.303e-02    1.271e-02
  2.25  0.05    5.221e-02    7.530e-03    14.42    6.571e-04    7.501e-03    6.799e-03    2.611e-03
  2.75  0.05    1.268e-02    1.852e-03    14.60    2.051e-04    1.841e-03    1.657e-03    6.342e-04
  3.25  0.05    3.770e-03    5.584e-04    14.81    7.344e-05    5.536e-04    4.941e-04    1.885e-04
  3.75  0.05    1.255e-03    1.892e-04    15.08    3.076e-05    1.867e-04    1.655e-04    6.273e-05
  4.25  0.05    4.271e-04    6.602e-05    15.46    1.436e-05    6.444e-05    5.719e-05    2.135e-05
  4.75  0.05    1.635e-04    2.610e-05    15.96    7.388e-06    2.504e-05    2.245e-05    8.177e-06
  5.25  0.05    7.378e-05    1.224e-05    16.59    4.284e-06    1.147e-05    1.048e-05    3.689e-06
  5.75  0.05    4.216e-05    7.227e-06    17.14    2.832e-06    6.650e-06    6.155e-06    2.108e-06
  6.25  0.05    1.417e-05    2.781e-06    19.63    1.610e-06    2.268e-06    2.443e-06    7.085e-07
  6.75  0.05    8.509e-06    1.802e-06    21.18    1.157e-06    1.382e-06    1.599e-06    4.254e-07
  7.25  0.05    3.980e-06    9.862e-07    24.78    7.368e-07    6.555e-07    8.994e-07    1.990e-07
  7.75  0.05    3.337e-06    8.511e-07    25.50    6.432e-07    5.573e-07    7.752e-07    1.669e-07


