 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 17 (60 - 92%) from raw yields file: yields_60_92_tof1chisq1.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 9.84701e+06 +/- 3137.99
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.110e-01    1.578e-02    14.22    5.587e-04    1.577e-02    1.439e-02    5.548e-03
  1.75  0.05    1.751e-02    2.500e-03    14.28    1.169e-04    2.498e-03    2.273e-03    8.756e-04
  2.25  0.05    3.712e-03    5.345e-04    14.40    3.605e-05    5.333e-04    4.825e-04    1.856e-04
  2.75  0.05    9.226e-04    1.346e-04    14.58    1.346e-05    1.339e-04    1.203e-04    4.613e-05
  3.25  0.05    2.821e-04    4.187e-05    14.84    6.145e-06    4.142e-05    3.708e-05    1.410e-05
  3.75  0.05    9.019e-05    1.376e-05    15.26    3.041e-06    1.342e-05    1.208e-05    4.509e-06
  4.25  0.05    3.737e-05    5.912e-06    15.82    1.778e-06    5.638e-06    5.159e-06    1.868e-06
  4.75  0.05    1.337e-05    2.266e-06    16.95    9.732e-07    2.046e-06    1.987e-06    6.683e-07
  5.25  0.05    6.893e-06    1.251e-06    18.15    6.467e-07    1.071e-06    1.103e-06    3.447e-07
  5.75  0.05    3.253e-06    6.695e-07    20.58    4.302e-07    5.130e-07    6.024e-07    1.626e-07
  6.25  0.05    1.613e-06    3.782e-07    23.45    2.764e-07    2.581e-07    3.466e-07    8.063e-08
  6.75  0.05    8.062e-07    2.219e-07    27.52    1.792e-07    1.309e-07    2.074e-07    4.031e-08
  7.25  0.05    2.481e-07    1.092e-07    44.02    1.013e-07    4.086e-08    1.063e-07    1.240e-08
  7.75  0.05    1.537e-07    8.100e-08    52.71    7.683e-08    2.566e-08    7.937e-08    7.683e-09
