 <I> Constructing full-corrected noPID spectrum for centrality class: 2 (10 - 20%) from raw yields file: yields_10_20_noPID.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.17704e+06 +/- 1782.43
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    2.172e+00    3.094e-01    14.24    2.045e-02    3.087e-01    2.823e-01    1.086e-01
  1.75  0.05    3.727e-01    5.330e-02    14.30    3.947e-03    5.316e-02    4.847e-02    1.864e-02
  2.25  0.05    7.726e-02    1.115e-02    14.43    1.023e-03    1.110e-02    1.007e-02    3.863e-03
  2.75  0.05    1.804e-02    2.635e-03    14.60    2.985e-04    2.618e-03    2.357e-03    9.019e-04
  3.25  0.05    5.040e-03    7.473e-04    14.83    1.030e-04    7.401e-04    6.614e-04    2.520e-04
  3.75  0.05    1.620e-03    2.444e-04    15.09    4.093e-05    2.410e-04    2.139e-04    8.099e-05
  4.25  0.05    5.486e-04    8.481e-05    15.46    1.844e-05    8.278e-05    7.346e-05    2.743e-05
  4.75  0.05    2.313e-04    3.662e-05    15.83    9.335e-06    3.541e-05    3.140e-05    1.156e-05
  5.25  0.05    9.688e-05    1.595e-05    16.46    5.269e-06    1.505e-05    1.362e-05    4.844e-06
  5.75  0.05    3.762e-05    6.673e-06    17.74    3.054e-06    5.933e-06    5.753e-06    1.881e-06
  6.25  0.05    2.008e-05    3.757e-06    18.71    1.945e-06    3.214e-06    3.249e-06    1.004e-06
  6.75  0.05    1.150e-05    2.302e-06    20.01    1.346e-06    1.868e-06    2.009e-06    5.752e-07
  7.25  0.05    6.570e-06    1.446e-06    22.00    9.586e-07    1.082e-06    1.282e-06    3.285e-07
  7.75  0.05    4.311e-06    9.918e-07    23.01    6.822e-07    7.198e-07    8.818e-07    2.155e-07
