 <I> Constructing full-corrected noPID spectrum for centrality class: 2 (10 - 20%) from raw yields file: yields_10_20_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.17704e+06 +/- 1782.43
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.829e+00    2.606e-01    14.24    1.722e-02    2.600e-01    2.378e-01    9.147e-02
  1.75  0.05    3.285e-01    4.698e-02    14.30    3.479e-03    4.685e-02    4.272e-02    1.643e-02
  2.25  0.05    7.014e-02    1.012e-02    14.43    9.287e-04    1.008e-02    9.139e-03    3.507e-03
  2.75  0.05    1.671e-02    2.441e-03    14.60    2.766e-04    2.425e-03    2.184e-03    8.356e-04
  3.25  0.05    4.738e-03    7.024e-04    14.83    9.677e-05    6.957e-04    6.217e-04    2.369e-04
  3.75  0.05    1.539e-03    2.323e-04    15.09    3.889e-05    2.290e-04    2.032e-04    7.695e-05
  4.25  0.05    5.256e-04    8.125e-05    15.46    1.767e-05    7.930e-05    7.037e-05    2.628e-05
  4.75  0.05    2.230e-04    3.530e-05    15.83    9.000e-06    3.414e-05    3.027e-05    1.115e-05
  5.25  0.05    9.387e-05    1.545e-05    16.46    5.106e-06    1.459e-05    1.320e-05    4.694e-06
  5.75  0.05    3.660e-05    6.492e-06    17.74    2.971e-06    5.772e-06    5.597e-06    1.830e-06
  6.25  0.05    1.960e-05    3.667e-06    18.71    1.898e-06    3.137e-06    3.172e-06    9.801e-07
  6.75  0.05    1.126e-05    2.254e-06    20.01    1.317e-06    1.829e-06    1.966e-06    5.630e-07
  7.25  0.05    6.446e-06    1.418e-06    22.00    9.405e-07    1.062e-06    1.258e-06    3.223e-07
  7.75  0.05    4.237e-06    9.750e-07    23.01    6.707e-07    7.076e-07    8.669e-07    2.119e-07


