 <I> Constructing full-corrected noPID spectrum for centrality class: 12 (60 - 70%) from raw yields file: yields_60_70_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.18131e+06 +/- 1783.62
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.821e-01    2.595e-02    14.25    1.888e-03    2.588e-02    2.367e-02    9.103e-03
  1.75  0.05    3.044e-02    4.359e-03    14.32    3.932e-04    4.342e-03    3.965e-03    1.522e-03
  2.25  0.05    6.543e-03    9.464e-04    14.46    1.099e-04    9.400e-04    8.552e-04    3.271e-04
  2.75  0.05    1.655e-03    2.430e-04    14.68    3.695e-05    2.402e-04    2.177e-04    8.276e-05
  3.25  0.05    5.120e-04    7.681e-05    15.00    1.573e-05    7.518e-05    6.820e-05    2.560e-05
  3.75  0.05    1.675e-04    2.603e-05    15.54    7.520e-06    2.492e-05    2.297e-05    8.374e-06
  4.25  0.05    6.993e-05    1.140e-05    16.30    4.313e-06    1.055e-05    1.004e-05    3.497e-06
  4.75  0.05    2.659e-05    4.725e-06    17.77    2.398e-06    4.070e-06    4.198e-06    1.329e-06
  5.25  0.05    1.077e-05    2.165e-06    20.10    1.373e-06    1.674e-06    1.958e-06    5.386e-07
  5.75  0.05    6.935e-06    1.516e-06    21.86    1.049e-06    1.094e-06    1.382e-06    3.467e-07
  6.25  0.05    2.661e-06    7.472e-07    28.08    6.140e-07    4.258e-07    7.042e-07    1.330e-07
  6.75  0.05    2.068e-06    6.028e-07    29.15    5.006e-07    3.358e-07    5.679e-07    1.034e-07
  7.25  0.05    4.777e-07    2.515e-07    52.64    2.389e-07    7.868e-08    2.468e-07    2.389e-08
  7.75  0.05    2.220e-07    1.613e-07    72.66    1.570e-07    3.707e-08    1.596e-07    1.110e-08


