 <I> Constructing full-corrected r345 spectrum for pi0 and centrality class: 10 (50 - 60%) from raw yields file: yields_50_60_r345.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 1.28731e+06 +/- 655.059
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    3.322e-01    4.747e-02    14.29    4.835e-03    4.722e-02    4.333e-02    1.661e-02
  1.75  0.05    6.008e-02    8.626e-03    14.36    9.887e-04    8.569e-03    7.850e-03    3.004e-03
  2.25  0.05    1.266e-02    1.839e-03    14.53    2.729e-04    1.818e-03    1.663e-03    6.328e-04
  2.75  0.05    3.469e-03    5.116e-04    14.75    9.173e-05    5.033e-04    4.588e-04    1.734e-04
  3.25  0.05    1.001e-03    1.514e-04    15.13    3.646e-05    1.470e-04    1.347e-04    5.004e-05
  3.75  0.05    3.512e-04    5.503e-05    15.67    1.727e-05    5.226e-05    4.869e-05    1.756e-05
  4.25  0.05    1.011e-04    1.754e-05    17.34    8.644e-06    1.526e-05    1.570e-05    5.057e-06
  4.75  0.05    4.995e-05    9.237e-06    18.49    5.180e-06    7.648e-06    8.292e-06    2.498e-06
  5.25  0.05    2.758e-05    5.571e-06    20.20    3.560e-06    4.286e-06    5.045e-06    1.379e-06
  5.75  0.05    1.272e-05    2.965e-06    23.31    2.183e-06    2.007e-06    2.736e-06    6.362e-07
  6.25  0.05    5.209e-06    1.685e-06    32.35    1.465e-06    8.338e-07    1.613e-06    2.605e-07
  6.75  0.05    1.666e-06    8.788e-07    52.74    8.361e-07    2.706e-07    8.636e-07    8.332e-08
  7.25  0.05    5.827e-07    4.231e-07    72.60    4.121e-07    9.598e-08    4.189e-07    2.914e-08
  7.75  0.05    1.352e-06    6.452e-07    47.74    6.044e-07    2.257e-07    6.293e-07    6.758e-08


