 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 8 (40 - 50%) from raw yields file: yields_40_50_tof1chisq1.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.18171e+06 +/- 1783.74
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    6.454e-01    9.182e-02    14.23    4.092e-03    9.173e-02    8.375e-02    3.227e-02
  1.75  0.05    1.118e-01    1.596e-02    14.28    8.224e-04    1.594e-02    1.451e-02    5.589e-03
  2.25  0.05    2.268e-02    3.267e-03    14.40    2.348e-04    3.258e-03    2.949e-03    1.134e-03
  2.75  0.05    5.556e-03    8.100e-04    14.58    7.849e-05    8.062e-04    7.244e-04    2.778e-04
  3.25  0.05    1.643e-03    2.434e-04    14.81    3.165e-05    2.413e-04    2.153e-04    8.217e-05
  3.75  0.05    5.218e-04    7.900e-05    15.14    1.464e-05    7.764e-05    6.920e-05    2.609e-05
  4.25  0.05    1.947e-04    3.038e-05    15.61    7.767e-06    2.937e-05    2.640e-05    9.734e-06
  4.75  0.05    8.296e-05    1.347e-05    16.23    4.479e-06    1.270e-05    1.165e-05    4.148e-06
  5.25  0.05    3.728e-05    6.420e-06    17.22    2.767e-06    5.793e-06    5.568e-06    1.864e-06
  5.75  0.05    1.845e-05    3.413e-06    18.50    1.784e-06    2.909e-06    2.983e-06    9.224e-07
  6.25  0.05    8.948e-06    1.845e-06    20.62    1.163e-06    1.432e-06    1.642e-06    4.474e-07
  6.75  0.05    4.306e-06    1.067e-06    24.77    8.053e-07    6.992e-07    9.798e-07    2.153e-07
  7.25  0.05    3.341e-06    8.494e-07    25.43    6.471e-07    5.502e-07    7.786e-07    1.670e-07
  7.75  0.05    1.476e-06    4.779e-07    32.37    4.094e-07    2.465e-07    4.519e-07    7.380e-08


