 <I> Constructing full-corrected r678 spectrum for pi0 and centrality class: 4 (20 - 30%) from raw yields file: yields_20_30_r678.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 1.28066e+06 +/- 653.367
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.324e+00    1.891e-01    14.28    1.866e-02    1.882e-01    1.727e-01    6.621e-02
  1.75  0.05    2.197e-01    3.155e-02    14.36    3.670e-03    3.134e-02    2.872e-02    1.099e-02
  2.25  0.05    4.447e-02    6.458e-03    14.52    9.433e-04    6.388e-03    5.840e-03    2.223e-03
  2.75  0.05    1.067e-02    1.576e-03    14.77    2.926e-04    1.549e-03    1.414e-03    5.337e-04
  3.25  0.05    3.490e-03    5.231e-04    14.99    1.046e-04    5.125e-04    4.643e-04    1.745e-04
  3.75  0.05    1.116e-03    1.718e-04    15.40    4.424e-05    1.660e-04    1.512e-04    5.578e-05
  4.25  0.05    3.677e-04    5.919e-05    16.10    2.065e-05    5.548e-05    5.193e-05    1.838e-05
  4.75  0.05    1.469e-04    2.485e-05    16.91    1.055e-05    2.249e-05    2.177e-05    7.346e-06
  5.25  0.05    6.078e-05    1.130e-05    18.60    6.208e-06    9.444e-06    1.003e-05    3.039e-06
  5.75  0.05    3.471e-05    6.776e-06    19.52    3.994e-06    5.474e-06    6.016e-06    1.736e-06
  6.25  0.05    1.157e-05    3.029e-06    26.18    2.398e-06    1.852e-06    2.828e-06    5.785e-07
  6.75  0.05    9.147e-06    2.404e-06    26.28    1.890e-06    1.485e-06    2.231e-06    4.573e-07
  7.25  0.05    6.024e-06    1.711e-06    28.41    1.394e-06    9.922e-07    1.598e-06    3.012e-07
  7.75  0.05    1.444e-06    6.939e-07    48.06    6.507e-07    2.411e-07    6.770e-07    7.218e-08


