 <I> Constructing full-corrected noPID spectrum for centrality class: 19 (0 - 100%) from raw yields file: yields_0_100_noPID.txt
 <I> Spectrum shifted along the y-axis (Yield) to correct for true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 2.87821e+07 +/- 5364.9
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    9.706e-01    1.380e-01    14.22    4.368e-03    1.380e-01    1.259e-01    4.853e-02
  1.75  0.05    1.716e-01    2.449e-02    14.27    8.871e-04    2.448e-02    2.226e-02    8.582e-03
  2.25  0.05    3.540e-02    5.091e-03    14.38    2.346e-04    5.086e-03    4.594e-03    1.770e-03
  2.75  0.05    8.389e-03    1.219e-03    14.53    6.889e-05    1.217e-03    1.090e-03    4.194e-04
  3.25  0.05    2.373e-03    3.492e-04    14.72    2.383e-05    3.484e-04    3.084e-04    1.186e-04
  3.75  0.05    7.508e-04    1.121e-04    14.93    9.470e-06    1.117e-04    9.777e-05    3.754e-05
  4.25  0.05    2.669e-04    4.049e-05    15.17    4.295e-06    4.027e-05    3.485e-05    1.334e-05
  4.75  0.05    1.099e-04    1.696e-05    15.44    2.185e-06    1.682e-05    1.441e-05    5.493e-06
  5.25  0.05    4.732e-05    7.457e-06    15.76    1.237e-06    7.353e-06    6.257e-06    2.366e-06
  5.75  0.05    2.173e-05    3.507e-06    16.14    7.483e-07    3.427e-06    2.914e-06    1.086e-06
  6.25  0.05    1.007e-05    1.677e-06    16.65    4.635e-07    1.611e-06    1.385e-06    5.034e-07
  6.75  0.05    6.022e-06    1.030e-06    17.10    3.235e-07    9.779e-07    8.449e-07    3.011e-07
  7.25  0.05    3.209e-06    5.751e-07    17.92    2.267e-07    5.285e-07    4.737e-07    1.604e-07
  7.75  0.05    2.181e-06    4.035e-07    18.50    1.737e-07    3.642e-07    3.318e-07    1.091e-07
  8.25  0.05    1.168e-06    2.304e-07    19.73    1.184e-07    1.976e-07    1.922e-07    5.839e-08
  8.75  0.05    8.376e-07    1.728e-07    20.63    9.605e-08    1.436e-07    1.450e-07    4.188e-08
  9.25  0.05    5.123e-07    1.155e-07    22.54    7.363e-08    8.895e-08    9.916e-08    2.562e-08
  9.75  0.05    2.848e-07    7.571e-08    26.59    5.681e-08    5.004e-08    6.775e-08    1.424e-08
  10.25  0.05    1.745e-07    5.065e-08    29.03    4.004e-08    3.102e-08    4.598e-08    8.725e-09
  10.75  0.05    1.495e-07    4.432e-08    29.64    3.524e-08    2.688e-08    4.021e-08    7.475e-09
  11.25  0.05    1.029e-07    3.413e-08    33.16    2.854e-08    1.871e-08    3.151e-08    5.146e-09
  11.75  0.05    7.186e-08    2.732e-08    38.02    2.392e-08    1.320e-08    2.567e-08    3.593e-09


