 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 6 (30 - 40%) from raw yields file: yields_30_40_tof1chisq1.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 3.13972e+06 +/- 1771.92
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.249e+00    1.776e-01    14.23    7.840e-03    1.775e-01    1.620e-01    6.243e-02
  1.75  0.05    1.988e-01    2.840e-02    14.28    1.493e-03    2.836e-02    2.581e-02    9.941e-03
  2.25  0.05    3.920e-02    5.646e-03    14.40    4.031e-04    5.631e-03    5.097e-03    1.960e-03
  2.75  0.05    9.559e-03    1.393e-03    14.57    1.273e-04    1.387e-03    1.245e-03    4.779e-04
  3.25  0.05    2.492e-03    3.691e-04    14.81    4.792e-05    3.660e-04    3.266e-04    1.246e-04
  3.75  0.05    8.235e-04    1.243e-04    15.10    2.103e-05    1.225e-04    1.088e-04    4.117e-05
  4.25  0.05    3.117e-04    4.823e-05    15.47    1.065e-05    4.703e-05    4.178e-05    1.559e-05
  4.75  0.05    1.257e-04    2.014e-05    16.01    5.901e-06    1.925e-05    1.733e-05    6.287e-06
  5.25  0.05    5.174e-05    8.781e-06    16.97    3.530e-06    8.040e-06    7.579e-06    2.587e-06
  5.75  0.05    2.139e-05    3.991e-06    18.66    2.132e-06    3.374e-06    3.498e-06    1.070e-06
  6.25  0.05    1.381e-05    2.672e-06    19.35    1.502e-06    2.210e-06    2.337e-06    6.905e-07
  6.75  0.05    8.064e-06    1.717e-06    21.29    1.110e-06    1.310e-06    1.525e-06    4.032e-07
  7.25  0.05    4.678e-06    1.103e-06    23.58    7.896e-07    7.706e-07    9.956e-07    2.339e-07
  7.75  0.05    2.699e-06    7.500e-07    27.79    5.995e-07    4.507e-07    6.941e-07    1.349e-07
  8.25  0.05    1.318e-06    4.410e-07    33.46    3.804e-07    2.230e-07    4.170e-07    6.589e-08
