 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 19 (0 - 100%) from raw yields file: yields_0_100_tof1chisq1.txt
 <I> No correction for the true mean value of the $p_T$ bin applied to the steeply falling spectrum
 <I> Total # of events in centrality class: 2.87821e+07 +/- 5364.9
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.25  0.05    1.161e+00    1.651e-01    14.22    4.043e-03    1.650e-01    1.505e-01    5.805e-02
  1.75  0.05    1.946e-01    2.777e-02    14.27    7.838e-04    2.776e-02    2.524e-02    9.732e-03
  2.25  0.05    3.819e-02    5.490e-03    14.38    2.022e-04    5.487e-03    4.954e-03    1.909e-03
  2.75  0.05    8.966e-03    1.303e-03    14.53    6.362e-05    1.301e-03    1.164e-03    4.483e-04
  3.25  0.05    2.442e-03    3.593e-04    14.71    2.253e-05    3.586e-04    3.173e-04    1.221e-04
  3.75  0.05    7.906e-04    1.180e-04    14.92    9.160e-06    1.176e-04    1.029e-04    3.953e-05
  4.25  0.05    2.744e-04    4.162e-05    15.17    4.222e-06    4.141e-05    3.582e-05    1.372e-05
  4.75  0.05    1.129e-04    1.742e-05    15.43    2.186e-06    1.729e-05    1.480e-05    5.645e-06
  5.25  0.05    4.666e-05    7.351e-06    15.75    1.212e-06    7.250e-06    6.168e-06    2.333e-06
  5.75  0.05    2.093e-05    3.381e-06    16.16    7.360e-07    3.300e-06    2.810e-06    1.046e-06
  6.25  0.05    1.012e-05    1.685e-06    16.65    4.651e-07    1.619e-06    1.391e-06    5.058e-07
  6.75  0.05    5.894e-06    1.010e-06    17.14    3.241e-07    9.571e-07    8.299e-07    2.947e-07
  7.25  0.05    3.250e-06    5.829e-07    17.93    2.306e-07    5.354e-07    4.803e-07    1.625e-07
  7.75  0.05    2.058e-06    3.847e-07    18.69    1.726e-07    3.437e-07    3.178e-07    1.029e-07
  8.25  0.05    1.143e-06    2.273e-07    19.89    1.195e-07    1.934e-07    1.903e-07    5.714e-08
  8.75  0.05    8.414e-07    1.751e-07    20.82    9.932e-08    1.443e-07    1.475e-07    4.207e-08
  9.25  0.05    5.244e-07    1.174e-07    22.40    7.418e-08    9.104e-08    1.006e-07    2.622e-08
  9.75  0.05    2.863e-07    7.685e-08    26.84    5.808e-08    5.032e-08    6.893e-08    1.432e-08
  10.25  0.05    1.996e-07    5.550e-08    27.81    4.268e-08    3.548e-08    4.991e-08    9.978e-09
  10.75  0.05    1.596e-07    4.731e-08    29.64    3.761e-08    2.869e-08    4.292e-08    7.979e-09
  11.25  0.05    1.101e-07    3.650e-08    33.16    3.053e-08    2.001e-08    3.370e-08    5.503e-09
  11.75  0.05    7.570e-08    2.918e-08    38.54    2.565e-08    1.390e-08    2.746e-08    3.785e-09
