 <I> Constructing full-corrected tof1chisq1 spectrum for centrality class: 0 (0 - 10%) from raw yields file: yields_0_10_tof1chisq1.txt
 <I> Spectrum shifted (after doing and undoing the 1/pT normalization) along the x-axis (pT) to correct for the true mean value of the $p_T$ bin in the steeply falling spectrum
 <I> Total # of events in centrality class: 3.14815e+06 +/- 1774.3
  pT   pT_err   Ntot   Ntot_err   (Rel_toterr %)   Stat_err   Syst_err   CCuncorr_toterr   pTcorr_toterr
  1.21  0.05    2.861e+00    4.073e-01    14.24    2.374e-02    4.066e-01    3.716e-01    1.430e-01
  1.71  0.05    4.982e-01    7.121e-02    14.29    4.658e-03    7.106e-02    6.474e-02    2.491e-02
  2.22  0.05    9.926e-02    1.431e-02    14.42    1.232e-03    1.426e-02    1.292e-02    4.963e-03
  2.72  0.05    2.281e-02    3.333e-03    14.61    3.934e-04    3.310e-03    2.983e-03    1.140e-03
  3.22  0.05    6.060e-03    8.998e-04    14.85    1.340e-04    8.898e-04    7.968e-04    3.030e-04
  3.73  0.05    1.932e-03    2.924e-04    15.13    5.346e-05    2.875e-04    2.561e-04    9.660e-05
  4.23  0.05    6.377e-04    9.918e-05    15.55    2.402e-05    9.623e-05    8.608e-05    3.189e-05
  4.73  0.05    2.941e-04    4.658e-05    15.84    1.193e-05    4.503e-05    3.994e-05    1.470e-05
  5.23  0.05    1.217e-04    2.002e-05    16.45    6.564e-06    1.891e-05    1.709e-05    6.085e-06
  5.73  0.05    4.956e-05    8.715e-06    17.59    3.855e-06    7.816e-06    7.492e-06    2.478e-06
  6.23  0.05    2.409e-05    4.524e-06    18.78    2.365e-06    3.856e-06    3.917e-06    1.205e-06
  6.73  0.05    1.329e-05    2.642e-06    19.89    1.525e-06    2.157e-06    2.300e-06    6.643e-07
  7.24  0.05    8.710e-06    1.836e-06    21.08    1.145e-06    1.435e-06    1.608e-06    4.355e-07
  7.74  0.05    5.844e-06    1.309e-06    22.40    8.728e-07    9.759e-07    1.156e-06    2.922e-07
  8.24  0.05    3.597e-06    8.687e-07    24.15    6.198e-07    6.087e-07    7.756e-07    1.798e-07
  8.74  0.05    1.699e-06    5.070e-07    29.84    4.150e-07    2.913e-07    4.698e-07    8.495e-08
  9.24  0.05    1.542e-06    4.728e-07    30.66    3.897e-07    2.677e-07    4.380e-07    7.711e-08
  9.74  0.05    7.484e-07    2.913e-07    38.92    2.599e-07    1.315e-07    2.775e-07    3.742e-08


