#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 84 -1.40214 2.62441 80 30 1451.3 0 0 0 7.12955
SM 85 -1.10149 2.50544 80 30 1503.17 0 0 0 23.011
SM 86 -1.27858 2.57148 80 30 1466.12 0 0 0 25.5586
SM 87 -1.32521 2.68709 80 30 1407.68 0 0 0 18.0285
SM 88 -1.22495 2.52864 80 30 1507.73 0 0 0 7.6649
SM 89 -1.08761 2.53572 80 30 1506.75 0 0 0 4.19127
SM 90 -1.26543 2.54437 80 30 1489.04 0 0 0 18.3215
SM 91 -1.06439 2.47067 80 30 1532.05 0 0 0 17.7991
SM 92 -1.2884 2.55785 80 30 1486.59 0 0 0 14.4924
SM 93 -1.1417 2.44035 80 30 1559.86 0 0 0 6.65871
SM 94 -0.931886 2.49589 80 30 1521.92 0 0 0 11.6637
SM 95 -1.17942 2.57442 80 30 1477.88 0 0 0 9.96791
SM 96 -1.00274 3.09123 80 30 1226.94 0 0 0 13.382
SM 97 -1.06418 2.27899 80 30 1648.86 0 0 0 7.12408
SM 98 -0.800489 2.21536 80 30 1693.99 0 0 0 15.4177
SM 99 -0.899169 2.21955 80 30 1687.06 0 0 0 12.2949
SM 100 -0.963741 2.17827 80 30 1719.78 0 0 0 11.1553
SM 101 -0.888818 2.18611 80 30 1713.69 0 0 0 13.445
SM 102 -1.0278 2.18377 80 30 1714.39 0 0 0 11.3582
SM 103 -0.927188 2.22927 80 30 1689.54 0 0 0 7.35586
SM 104 -1.15838 2.2366 80 30 1680.81 0 0 0 9.09888
SM 105 -1.02294 2.22325 80 30 1686.63 0 0 0 9.08721
SM 106 -1.15577 2.25504 80 30 1662.27 0 0 0 15.5874
SM 107 -0.991379 2.39818 80 30 1571.79 0 0 0 12.689
SM 108 -1.02938 2.9308 80 30 1283.71 0 0 0 29.6257
SM 109 -1.36176 3.75942 80 30 1005.08 0 0 0 23.7166
SM 110 -1.0609 1.63552 80 30 2075.67 0 0 0 4
SM 111 -1.12053 1.66039 80 30 2060.13 0 0 0 4.00001
SM 112 -1.77572 3.46402 80 30 1095.31 0 0 0 16.4153
SM 113 -1.5553 2.61525 80 30 1451.27 0 0 0 7.75508
SM 114 -1.59383 2.41894 80 30 1564.41 0 0 0 10.3555
SM 115 -1.45268 2.40223 80 30 1572.82 0 0 0 11.2758
SM 116 -1.6238 2.37854 80 30 1588.13 0 0 0 13.5182
SM 117 -1.62818 2.32672 80 30 1620.27 0 0 0 14.7959
SM 118 -1.34844 2.30184 80 30 1631.87 0 0 0 14.1038
SM 119 -1.71039 2.32891 80 30 1621.24 0 0 0 13.3523
SM 120 -1.59362 2.40451 80 30 1569.68 0 0 0 10.4853
SM 121 -1.56938 2.34186 80 30 1608.58 0 0 0 15.8089
SM 122 -1.53736 2.30581 80 30 1636.21 0 0 0 14.4746
SM 123 -1.75865 2.44747 80 30 1546.3 0 0 0 10.9027
SM 124 -1.5535 2.38197 80 30 1573.49 0 0 0 24.7759
SM 125 -1.68319 2.50861 80 30 1499.37 0 0 0 25.2273
SM 126 -1.45436 2.64545 80 30 1431.7 0 0 0 16.8332
SM 127 -1.58069 2.93294 80 30 1298.52 0 0 0 10.2776
SM 128 -0.969496 5.25787 80 30 705.4 0 0 0 64.601
SM 129 -0.914322 3.6447 80 30 1039.83 0 0 0 15.3487
SM 130 -1.13956 3.15754 80 30 1206.93 0 0 0 3.39491
SM 131 -1.05277 2.90276 80 30 1301.38 0 0 0 25.5564
SM 132 -0.846603 2.63934 80 30 1431.07 0 0 0 19.5529
SM 133 -1.05059 2.685 80 30 1411.25 0 0 0 10.8408
SM 134 -0.948926 2.54936 80 30 1488.58 0 0 0 6.23609
SM 135 -1.07943 2.56863 80 30 1475.02 0 0 0 11.9546
SM 136 -0.889669 2.47573 80 30 1520.36 0 0 0 23.8803
SM 137 -1.03533 2.50977 80 30 1505.18 0 0 0 15.5843
SM 138 -0.912432 2.46926 80 30 1528.12 0 0 0 12.9549
SM 139 -1.08218 2.57703 80 30 1468.97 0 0 0 11.0489
SM 140 -1.15856 2.70911 80 30 1399.34 0 0 0 7.43651
SM 141 -1.11264 2.79996 80 30 1344.61 0 0 0 19.0345
SM 142 -0.993798 3.0545 80 30 1237.29 0 0 0 21.3072
SM 143 -0.950295 3.09715 80 30 1220.42 0 0 0 20.9003
SM 144 -1.42415 8.45591 80 30 433.368 0 0 0 89.1441
SM 145 -1.51858 6.04499 80 30 596.872 0 0 0 120.098
SM 146 -1.62573 5.01204 80 30 737.008 0 0 0 73.2006
SM 147 -1.72255 4.34777 80 30 853.808 0 0 0 58.3777
SM 148 -1.7265 4.13277 80 30 897.432 0 0 0 61.6047
