   300.0000      100.0000      6766.229      1132.020
   500.0000      100.0000      2196.783      144.6081
   700.0000      100.0000      697.0125      38.39677
   900.0000      100.0000      242.7321      12.71593
   1100.000      100.0000      89.56585      4.646400
   1300.000      100.0000      34.31164      1.878513
   1500.000      100.0000      12.00445     0.8104491
   1700.000      100.0000      5.956195     0.4614142
   1900.000      100.0000      1.990924     0.1450036
   2100.000      100.0000     0.9853728     0.9988963E-01
   2300.000      100.0000     0.4289791     0.7097292E-01
   2500.000      100.0000     0.1440233     0.1896065E-01
   2700.000      100.0000     0.7735886E-01 0.2983529E-01
   2900.000      100.0000     0.2695489E-01 0.6915414E-02


