110601     2344.01     2322.72     4665.31     220.074     233.113     453.186     
110602     2337.79     2317.74     4654.46     220.878     233.739     454.617     
110609     2335.23     2316.83     4651.39     219.955     233     452.955     
110667     2340.02     2299.09     4638.41     219.763     232.264     452.026     
110671     2345.56     2302.61     4647.33     220.489     232.854     453.343     
110698     2365.85     2309.1     4673.46     220.355     232.755     453.11     
110700     2369.36     2312.6     4680.05     220.8     233.408     454.208     
110704     2361.19     2304.28     4664.33     221.107     233.552     454.659     
110706     2357.28     2304.63     4659.93     220.651     233.186     453.838     
110708     2356.84     2302.28     4658.11     221.957     234.289     456.246     
110710     2351.75     2302.28     4652.98     220.486     232.984     453.47     
110753     2360.11     2325.26     4684.48     220.042     233.66     453.702     
110754     2355.38     2323.45     4678.05     219.002     233.176     452.178     
110756     2340.45     2322.45     4661.81     218.453     232.99     451.443     
110762     2324.5     2312.18     4635.85     220.499     235.17     455.669     
110790     2342.69     2309.14     4650.95     219.284     232.554     451.838     
110793     2338.46     2302.39     4639.76     219.682     232.705     452.386     
110794     2331.88     2305.18     4635.96     219.756     232.908     452.664     
110796     2331.74     2298.09     4628.97     221.332     234.149     455.481     
110807     2371.9     2338.67     4709.37     222.38     235.239     457.619     
110809     2366.12     2328.44     4692.3     222.203     236.027     458.23     
110811     2361.82     2332.96     4692.65     219.897     233.388     453.285     
110888     2365.47     2330.31     4695.1     218.565     231.991     450.556     
110890     2360.76     2324.6     4684.58     219.314     233.113     452.426     
110892     2347.35     2321.46     4667.6     219.25     232.684     451.934     
110894     2341.57     2313.9     4654.32     219.924     233.465     453.389     
110912     2372.68     2335.6     4706.12     172.805     231.634     404.438     
110915     2359.74     2323.17     4681.58     174.253     233.556     407.809     
110920     2342.08     2310.73     4651.6     174.139     233.847     407.986     
110938     2323.42     2298.46     4620.76     222.171     231.183     453.355     
110946     2318.36     2292.6     4610.56     223.111     232.621     455.732     
110977     2354.55     2316.27     4669.5     218.51     233.17     451.68     
110981     2345.54     2315.37     4659.72     218.419     233.136     451.554     
