emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.353174	 0.062661	 0.0308781	 0.0545247	 0.0434676	 0.0378364	 
1.75 0.05	 0.0599375	 0.0108073	 0.00529835	 0.00941941	 0.00738615	 0.00658365	 
2.25 0.05	 0.0127441	 0.00234543	 0.00116072	 0.00203808	 0.00157243	 0.00143437	 
2.75 0.05	 0.00340038	 0.00064353	 0.000328759	 0.000553216	 0.000420078	 0.00039193	 
3.25 0.05	 0.000943602	 0.000180885	 9.13402e-05	 0.00015613	 0.000116716	 0.000111317	 
3.75 0.05	 0.000327084	 6.39121e-05	 3.25106e-05	 5.50256e-05	 4.05081e-05	 3.94723e-05	 
4.25 0.05	 0.000124984	 2.49122e-05	 1.28002e-05	 2.13723e-05	 1.5498e-05	 1.54217e-05	 
4.75 0.05	 4.80177e-05	 9.78187e-06	 5.10517e-06	 8.34399e-06	 5.96158e-06	 6.05495e-06	 
5.25 0.05	 2.13332e-05	 4.46436e-06	 2.39724e-06	 3.76613e-06	 2.65188e-06	 2.74788e-06	 
5.75 0.05	 9.22153e-06	 1.99763e-06	 1.12094e-06	 1.65349e-06	 1.14773e-06	 1.21279e-06	 
6.25 0.05	 6.16254e-06	 1.36877e-06	 7.83906e-07	 1.12206e-06	 7.67947e-07	 8.27176e-07	 
6.75 0.05	 3.12174e-06	 6.95205e-07	 3.87729e-07	 5.77041e-07	 3.89497e-07	 4.27478e-07	 
7.25 0.05	 1.68213e-06	 4.05594e-07	 2.54769e-07	 3.15593e-07	 2.10137e-07	 2.34901e-07	 
7.75 0.05	 1.05811e-06	 2.56843e-07	 1.60641e-07	 2.00406e-07	 1.31735e-07	 1.5131e-07	 
8.25 0.05	 4.60658e-07	 1.28462e-07	 9.3946e-08	 8.76172e-08	 5.68913e-08	 6.77167e-08	 
8.75 0.05	 2.35099e-07	 9.96643e-08	 8.89753e-08	 4.49039e-08	 2.87997e-08	 3.55e-08	 
9.25 0.05	 2.85972e-07	 1.18144e-07	 1.0464e-07	 5.48495e-08	 3.47456e-08	 4.43257e-08	 
9.75 0.05	 5.4428e-08	 4.11289e-08	 3.97705e-08	 1.04828e-08	 6.55858e-09	 8.65406e-09	 
10.25 0.05	 5.38952e-08	 4.07336e-08	 3.93824e-08	 1.04045e-08	 6.47011e-09	 8.67982e-09	 
10.75 0.05	 2.4887e-08	 2.57589e-08	 2.53064e-08	 4.80693e-09	 2.99017e-09	 4.01054e-09	 
