emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 1.07349	 0.189152	 0.09117	 0.165731	 0.132122	 0.115465	 
1.75 0.05	 0.191451	 0.0344901	 0.0168618	 0.0300873	 0.0235927	 0.0211046	 
2.25 0.05	 0.0384142	 0.00708394	 0.00352729	 0.00614332	 0.00473972	 0.00433736	 
2.75 0.05	 0.00915038	 0.00172807	 0.000877493	 0.0014887	 0.00113042	 0.00105765	 
3.25 0.05	 0.00237911	 0.000456999	 0.000232137	 0.00039365	 0.000294277	 0.000281355	 
3.75 0.05	 0.000762797	 0.000149652	 7.69945e-05	 0.000128326	 9.44695e-05	 9.22496e-05	 
4.25 0.05	 0.000268648	 5.34828e-05	 2.73868e-05	 4.59388e-05	 3.33124e-05	 3.32079e-05	 
4.75 0.05	 0.000100466	 2.02503e-05	 1.02614e-05	 1.74578e-05	 1.24732e-05	 1.26874e-05	 
5.25 0.05	 4.56656e-05	 9.32937e-06	 4.69528e-06	 8.06173e-06	 5.67658e-06	 5.8891e-06	 
5.75 0.05	 2.08148e-05	 4.30519e-06	 2.1459e-06	 3.73226e-06	 2.59064e-06	 2.74e-06	 
6.25 0.05	 1.06008e-05	 2.22229e-06	 1.1014e-06	 1.93016e-06	 1.32102e-06	 1.42381e-06	 
6.75 0.05	 5.52141e-06	 1.16953e-06	 5.71103e-07	 1.02061e-06	 6.88902e-07	 7.56362e-07	 
7.25 0.05	 3.12776e-06	 6.72128e-07	 3.27726e-07	 5.86815e-07	 3.90729e-07	 4.3683e-07	 
7.75 0.05	 1.64715e-06	 3.59975e-07	 1.79603e-07	 3.1197e-07	 2.0507e-07	 2.35542e-07	 
8.25 0.05	 9.9668e-07	 2.20152e-07	 1.11941e-07	 1.89568e-07	 1.2309e-07	 1.46512e-07	 
8.75 0.05	 6.80937e-07	 1.51234e-07	 7.7178e-08	 1.30059e-07	 8.34148e-08	 1.02821e-07	 
9.25 0.05	 4.33748e-07	 9.80486e-08	 5.1889e-08	 8.3193e-08	 5.27004e-08	 6.7231e-08	 
9.75 0.05	 3.03651e-07	 7.47003e-08	 4.64743e-08	 5.84831e-08	 3.65899e-08	 4.82805e-08	 
10.25 0.05	 1.79188e-07	 4.19617e-08	 2.3752e-08	 3.45923e-08	 2.15116e-08	 2.88583e-08	 
10.75 0.05	 1.33439e-07	 3.17988e-08	 1.86247e-08	 2.57737e-08	 1.60327e-08	 2.15036e-08	 
11.25 0.05	 6.5269e-08	 1.67445e-08	 1.1013e-08	 1.26132e-08	 7.8486e-09	 1.05246e-08	 
11.75 0.05	 1.00669e-07	 2.44353e-08	 1.47723e-08	 1.94644e-08	 1.21156e-08	 1.6243e-08	 
12.25 0.05	 2.91612e-08	 8.49716e-09	 6.35438e-09	 5.64124e-09	 3.51247e-09	 4.70808e-09	 
12.75 0.05	 2.48882e-08	 7.52695e-09	 5.78362e-09	 4.81712e-09	 3.00028e-09	 4.02069e-09	 
13.25 0.05	 1.92624e-08	 6.19324e-09	 4.9439e-09	 3.73016e-09	 2.32401e-09	 3.11376e-09	 
13.75 0.05	 1.25086e-08	 7.09791e-09	 6.67134e-09	 2.42354e-09	 1.51042e-09	 2.02327e-09	 
14.25 0.05	 1.99547e-08	 9.75001e-09	 8.94984e-09	 3.86822e-09	 2.41152e-09	 3.22967e-09	 
14.75 0.05	 1.0443e-08	 6.02927e-09	 6.02927e-09	 0	 0	 0	 
