   6   0   0	0.0292388
   6   0   8	0.0277049
   6   0   1	0.028071
   6   0   9	0.0272468
   6   0   2	0.0285398
   6   0   10	0.0277924
   6   0   3	0.0280487
   6   0   11	0.0279593
   6   0   4	0.0292489
   6   0   12	0.0282206
   6   0   5	0.0280327
   6   0   13	0.0279398
   6   0   6	0.027838
   6   0   14	0.0283296
   6   0   7	0.0286208
   6   0   15	0.0277363
   6   1   0	0.0270214
   6   1   8	0.0288194
   6   1   1	0.0266677
   6   1   9	0.0286404
   6   1   2	0.0260046
   6   1   10	0.0277412
   6   1   3	0.0266877
   6   1   11	0.0281107
   6   1   4	0.0295303
   6   1   12	0.0283854
   6   1   5	0.0283645
   6   1   13	0.0282074
   6   1   6	0.0276653
   6   1   14	0.0284597
   6   1   7	0.028418
   6   1   15	0.0277355
   6   2   0	0.026665
   6   2   8	0.0284391
   6   2   1	0.0276573
   6   2   9	0.0269358
   6   2   2	0.0281539
   6   2   10	0.0278061
   6   2   3	0.0273562
   6   2   11	0.0271221
   6   2   4	0.0277684
   6   2   12	0.0285456
   6   2   5	0.0275393
   6   2   13	0.0272784
   6   2   6	0.0278678
   6   2   14	0.0282224
   6   2   7	0.0275696
   6   2   15	0.0279046
   6   3   0	0.0271816
   6   3   8	0.0276944
   6   3   1	0.0270165
   6   3   9	0.0281147
   6   3   2	0.0271471
   6   3   10	0.0278097
   6   3   3	0.0283416
   6   3   11	0.0284527
   6   3   4	0.0270002
   6   3   12	0.0283667
   6   3   5	0.027516
   6   3   13	0.028611
   6   3   6	0.0275738
   6   3   14	0.0276162
   6   3   7	0.0279027
   6   3   15	0.0274465
   5   0   0	0.0282964
   5   0   8	0.0285842
   5   0   1	0.0281621
   5   0   9	0.0281367
   5   0   2	0.0280765
   5   0   10	0.0293848
   5   0   3	0.0286118
   5   0   11	0.0287924
   5   0   4	0.0276284
   5   0   12	0.0291313
   5   0   5	0.0278946
   5   0   13	0.0300661
   5   0   6	0.0280958
   5   0   14	0.0300484
   5   0   7	0.0277643
   5   0   15	0.0304634
   5   1   0	0.0273387
   5   1   8	0.0291416
   5   1   1	0.0279561
   5   1   9	0.0291198
   5   1   2	0.0268332
   5   1   10	0.0281791
   5   1   3	0.0270609
   5   1   11	0.0294691
   5   1   4	0.0281286
   5   1   12	0.0290188
   5   1   5	0.027874
   5   1   13	0.0283613
   5   1   6	0.0276711
   5   1   14	0.0273602
   5   1   7	0.0276653
   5   1   15	0.0279645
   5   2   0	0.0276547
   5   2   8	0.0271023
   5   2   1	0.0280666
