   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.603    0.068    11.19    0.091    15.07  
  1.75   0.05      0.672    0.075    11.16    0.101    15.07  
  2.25   0.05      0.680    0.078    11.40    0.103    15.07  
  2.75   0.05      0.620    0.074    12.01    0.093    15.07  
  3.25   0.05      0.597    0.078    13.14    0.090    15.07  
  3.75   0.05      0.573    0.081    14.09    0.086    15.07  
  4.25   0.05      0.557    0.075    13.42    0.084    15.07  
  4.75   0.05      0.668    0.096    14.37    0.101    15.07  
  5.25   0.05      0.592    0.096    16.17    0.089    15.07  
  5.75   0.05      0.608    0.104    17.16    0.092    15.07  
  6.25   0.05      0.693    0.138    19.89    0.104    15.07  
  6.75   0.05      0.521    0.125    24.07    0.079    15.07  
  7.25   0.05      0.809    0.232    28.66    0.122    15.07  
  7.75   0.05      0.723    0.263    36.43    0.109    15.07  

