   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.448    0.050    11.20    0.063    14.01  
  1.75   0.05      0.528    0.058    11.06    0.074    14.01  
  2.25   0.05      0.513    0.059    11.50    0.072    14.01  
  2.75   0.05      0.452    0.055    12.25    0.063    14.01  
  3.25   0.05      0.419    0.056    13.46    0.059    14.01  
  3.75   0.05      0.391    0.056    14.31    0.055    14.01  
  4.25   0.05      0.418    0.055    13.16    0.059    14.01  
  4.75   0.05      0.421    0.059    14.02    0.059    14.01  
  5.25   0.05      0.408    0.061    14.98    0.057    14.01  
  5.75   0.05      0.352    0.058    16.41    0.049    14.01  
  6.25   0.05      0.327    0.065    20.01    0.046    14.01  
  6.75   0.05      0.363    0.074    20.25    0.051    14.01  
  7.25   0.05      0.361    0.088    24.30    0.051    14.01  
  7.75   0.05      0.476    0.136    28.54    0.067    14.01  
  8.25   0.05      0.287    0.102    35.63    0.040    14.01  

