  pT   pT_err    RAA    RAA_err    Ncoll_err 
  1.25    0.05    0.921    0.193    0.386
  1.75    0.05    0.884    0.155    0.370
  2.25    0.05    0.943    0.169    0.395
  2.75    0.05    0.917    0.234    0.384
  3.25    0.05    0.777    0.158    0.325
  3.75    0.05    0.773    0.150    0.324
  4.25    0.05    0.828    0.143    0.347
  4.75    0.05    0.788    0.156    0.330
  5.25    0.05    0.875    0.249    0.366
  5.75    0.05    0.841    0.188    0.352
  6.25    0.05    0.853    0.224    0.357
  6.75    0.05    0.785    0.259    0.329
  7.25    0.05    0.570    0.265    0.239
  7.75    0.05    0.807    0.851    0.338
