   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.817    0.106    12.99    0.225    27.51  
  1.75   0.05      0.851    0.110    12.96    0.234    27.51  
  2.25   0.05      0.921    0.122    13.23    0.253    27.51  
  2.75   0.05      0.854    0.119    13.96    0.235    27.51  
  3.25   0.05      0.803    0.125    15.61    0.221    27.51  
  3.75   0.05      0.896    0.156    17.37    0.246    27.51  
  4.25   0.05      0.776    0.158    20.33    0.213    27.51  
  4.75   0.05      1.013    0.233    22.98    0.279    27.51  
  5.25   0.05      1.045    0.312    29.86    0.288    27.51  
  5.75   0.05      0.657    0.292    44.53    0.181    27.51  

