   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.756    0.084    11.09    0.243    32.12  
  1.75   0.05      0.790    0.088    11.09    0.254    32.12  
  2.25   0.05      0.838    0.096    11.48    0.269    32.12  
  2.75   0.05      0.805    0.098    12.22    0.259    32.12  
  3.25   0.05      0.830    0.112    13.50    0.266    32.12  
  3.75   0.05      0.810    0.121    14.90    0.260    32.12  
  4.25   0.05      0.834    0.128    15.36    0.268    32.12  
  4.75   0.05      0.831    0.153    18.37    0.267    32.12  
  5.25   0.05      0.970    0.213    21.93    0.311    32.12  
  5.75   0.05      0.711    0.206    28.99    0.228    32.12  
  6.25   0.05      0.935    0.313    33.42    0.300    32.12  

