   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.660    0.073    11.10    0.203    30.79  
  1.75   0.05      0.724    0.080    11.01    0.223    30.79  
  2.25   0.05      0.786    0.089    11.29    0.242    30.79  
  2.75   0.05      0.708    0.085    12.07    0.218    30.79  
  3.25   0.05      0.730    0.097    13.27    0.225    30.79  
  3.75   0.05      0.716    0.102    14.30    0.220    30.79  
  4.25   0.05      0.816    0.112    13.79    0.251    30.79  
  4.75   0.05      0.724    0.118    16.35    0.223    30.79  
  5.25   0.05      0.773    0.143    18.46    0.238    30.79  
  5.75   0.05      0.819    0.160    19.55    0.252    30.79  
  6.25   0.05      0.871    0.202    23.15    0.268    30.79  
  6.75   0.05      0.760    0.220    28.93    0.234    30.79  
  7.25   0.05      1.206    0.744    61.67    0.371    30.79  

