   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.638    0.072    11.22    0.125    19.53  
  1.75   0.05      0.695    0.077    11.10    0.136    19.53  
  2.25   0.05      0.723    0.083    11.43    0.141    19.53  
  2.75   0.05      0.654    0.080    12.24    0.128    19.53  
  3.25   0.05      0.666    0.088    13.25    0.130    19.53  
  3.75   0.05      0.676    0.096    14.26    0.132    19.53  
  4.25   0.05      0.681    0.093    13.59    0.133    19.53  
  4.75   0.05      0.716    0.109    15.20    0.140    19.53  
  5.25   0.05      0.621    0.107    17.29    0.121    19.53  
  5.75   0.05      0.685    0.145    21.12    0.134    19.53  
  6.25   0.05      0.599    0.142    23.65    0.117    19.53  
  6.75   0.05      0.694    0.206    29.68    0.136    19.53  
  7.25   0.05      0.411    0.178    43.29    0.080    19.53  
  7.75   0.05      0.663    0.313    47.16    0.129    19.53  

