   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.687    0.077    11.18    0.246    35.79  
  1.75   0.05      0.729    0.081    11.15    0.261    35.79  
  2.25   0.05      0.785    0.090    11.52    0.281    35.79  
  2.75   0.05      0.750    0.092    12.32    0.268    35.79  
  3.25   0.05      0.801    0.111    13.82    0.287    35.79  
  3.75   0.05      0.713    0.110    15.50    0.255    35.79  
  4.25   0.05      0.771    0.133    17.27    0.276    35.79  
  4.75   0.05      0.762    0.160    20.95    0.273    35.79  
  5.25   0.05      1.024    0.238    23.21    0.367    35.79  
  5.75   0.05      0.721    0.237    32.87    0.258    35.79  
  6.25   0.05      0.730    0.308    42.14    0.261    35.79  

