   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.399    0.044    11.14    0.054    13.44  
  1.75   0.05      0.437    0.049    11.11    0.059    13.44  
  2.25   0.05      0.452    0.052    11.44    0.061    13.44  
  2.75   0.05      0.387    0.047    12.13    0.052    13.44  
  3.25   0.05      0.334    0.045    13.39    0.045    13.44  
  3.75   0.05      0.332    0.047    14.19    0.045    13.44  
  4.25   0.05      0.338    0.045    13.28    0.045    13.44  
  4.75   0.05      0.317    0.045    14.16    0.043    13.44  
  5.25   0.05      0.320    0.048    14.87    0.043    13.44  
  5.75   0.05      0.237    0.039    16.64    0.032    13.44  
  6.25   0.05      0.288    0.052    18.12    0.039    13.44  
  6.75   0.05      0.261    0.056    21.68    0.035    13.44  
  7.25   0.05      0.321    0.074    23.00    0.043    13.44  
  7.75   0.05      0.414    0.117    28.15    0.056    13.44  
  8.25   0.05      0.233    0.077    32.84    0.031    13.44  
  8.75   0.05      0.420    0.151    35.96    0.056    13.44  
  9.25   0.05      0.316    0.136    42.99    0.043    13.44  

