   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.654    0.073    11.20    0.193    29.53  
  1.75   0.05      0.727    0.081    11.09    0.215    29.53  
  2.25   0.05      0.791    0.090    11.40    0.234    29.53  
  2.75   0.05      0.697    0.086    12.40    0.206    29.53  
  3.25   0.05      0.713    0.097    13.67    0.210    29.53  
  3.75   0.05      0.718    0.104    14.55    0.212    29.53  
  4.25   0.05      0.824    0.117    14.20    0.243    29.53  
  4.75   0.05      0.734    0.129    17.62    0.217    29.53  
  5.25   0.05      0.726    0.139    19.08    0.214    29.53  
  5.75   0.05      0.925    0.190    20.51    0.273    29.53  
  6.25   0.05      0.920    0.231    25.13    0.272    29.53  
  6.75   0.05      0.992    0.314    31.65    0.293    29.53  

