   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.443    0.049    11.01    0.060    13.61  
  1.75   0.05      0.505    0.055    10.98    0.069    13.61  
  2.25   0.05      0.504    0.057    11.25    0.069    13.61  
  2.75   0.05      0.430    0.051    11.89    0.059    13.61  
  3.25   0.05      0.380    0.049    12.99    0.000    0.00  
  3.75   0.05      0.366    0.052    14.07    0.052    14.14  
  4.25   0.05      0.373    0.048    12.81    0.050    13.35  
  4.75   0.05      0.380    0.051    13.50    0.051    13.38  
  5.25   0.05      0.347    0.049    14.13    0.052    14.90  
  5.75   0.05      0.303    0.044    14.65    0.047    15.61  
  6.25   0.05      0.345    0.055    15.86    0.041    11.94  
  6.75   0.05      0.305    0.052    17.20    0.047    15.42  
  7.25   0.05      0.334    0.065    19.52    0.041    12.43  
  7.75   0.05      0.423    0.097    23.01    0.045    10.74  
  8.25   0.05      0.289    0.076    26.44    0.058    19.91  
  8.75   0.05      0.411    0.123    29.99    0.039    9.59  
  9.25   0.05      0.387    0.130    33.72    0.056    14.46  
  9.75   0.05      0.397    0.185    46.52    0.053    13.25  
  11.25   0.05      0.395    0.163    41.14    0.136    34.44  
  9.50   0.00      -1.000    -1.000    100.00    0.136    -13.61  
  10.00   0.00      -1.000    -1.000    100.00    0.136    -13.61  
  10.50   0.00      -1.000    -1.000    100.00    0.136    -13.61  
  11.00   0.00      -1.000    -1.000    100.00    0.054    -5.38  

