   pT    epT    R_AA     eR_AA    eR_AA(%)    eNcoll    eNcoll(%)
  1.25   0.05      0.508    0.057    11.27    0.073    14.39  
  1.75   0.05      0.575    0.064    11.10    0.083    14.39  
  2.25   0.05      0.597    0.068    11.41    0.086    14.39  
  2.75   0.05      0.543    0.066    12.17    0.078    14.39  
  3.25   0.05      0.480    0.064    13.27    0.069    14.39  
  3.75   0.05      0.441    0.063    14.22    0.063    14.39  
  4.25   0.05      0.507    0.067    13.14    0.073    14.39  
  4.75   0.05      0.515    0.073    14.24    0.074    14.39  
  5.25   0.05      0.432    0.067    15.61    0.062    14.39  
  5.75   0.05      0.387    0.066    17.16    0.056    14.39  
  6.25   0.05      0.493    0.093    18.88    0.071    14.39  
  6.75   0.05      0.511    0.108    21.14    0.074    14.39  
  7.25   0.05      0.472    0.124    26.22    0.068    14.39  
  7.75   0.05      0.743    0.215    28.95    0.107    14.39  
  8.25   0.05      0.391    0.148    37.71    0.056    14.39  

