0.65	0.0855378	0.00408065
0.75	0.0624924	0.00334775
0.85	0.0416769	0.00259902
0.95	0.0329571	0.00225014
1.05	0.0234723	0.00183288
1.15	0.0125146	0.00130587
1.25	0.0105777	0.0011645
1.35	0.00887167	0.00106642
1.45	0.00557588	0.000819693
1.55	0.00340847	0.000642888
1.65	0.0020228	0.000483408
1.75	0.00208419	0.000482197
1.85	0.00104822	0.000345898
1.95	0.00122903	0.000366166
2.1	0.00060046	0.000146785
2.3	0.000432664	0.000123956
2.5	0.000315312	0.000103814
2.7	0.000141838	7.06602e-05
2.9	4.79679e-05	4.09112e-05
3.25	2.97901e-05	2.03019e-05
3.75	4.0484e-06	8.05153e-06
4.25	3.4786e-06	6.96735e-06
