emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.171752	 0.0305081	 0.015088	 0.0265159	 0.0211387	 0.0183268	 
1.75 0.05	 0.0295189	 0.00534443	 0.00265377	 0.00463902	 0.00363764	 0.00323081	 
2.25 0.05	 0.00644213	 0.0011886	 0.000592755	 0.00103025	 0.00079486	 0.000722758	 
2.75 0.05	 0.00161884	 0.00030543	 0.000154668	 0.000263373	 0.000199989	 0.000186063	 
3.25 0.05	 0.000503172	 9.64788e-05	 4.87512e-05	 8.32555e-05	 6.22384e-05	 5.9213e-05	 
3.75 0.05	 0.000175002	 3.41109e-05	 1.7228e-05	 2.94407e-05	 2.16733e-05	 2.10743e-05	 
4.25 0.05	 6.71805e-05	 1.35156e-05	 7.1204e-06	 1.14879e-05	 8.33038e-06	 8.27439e-06	 
4.75 0.05	 2.12928e-05	 4.43409e-06	 2.44355e-06	 3.70003e-06	 2.64358e-06	 2.68098e-06	 
5.25 0.05	 1.19118e-05	 2.56467e-06	 1.46811e-06	 2.1029e-06	 1.48073e-06	 1.5325e-06	 
5.75 0.05	 4.64789e-06	 1.2776e-06	 9.68352e-07	 8.33402e-07	 5.78483e-07	 6.10721e-07	 
6.25 0.05	 2.47629e-06	 7.31586e-07	 5.76133e-07	 4.50876e-07	 3.08584e-07	 3.32172e-07	 
6.75 0.05	 1.82254e-06	 5.40513e-07	 4.22682e-07	 3.36889e-07	 2.27396e-07	 2.49477e-07	 
7.25 0.05	 6.2815e-07	 2.21195e-07	 1.87186e-07	 1.17851e-07	 7.84705e-08	 8.77075e-08	 
7.75 0.05	 2.4458e-07	 1.25918e-07	 1.17087e-07	 4.63235e-08	 3.04503e-08	 3.4975e-08	 
8.25 0.05	 1.82406e-07	 8.87044e-08	 8.16384e-08	 3.46935e-08	 2.25271e-08	 2.68136e-08	 
8.75 0.05	 1.13297e-07	 6.4106e-08	 6.03432e-08	 2.16398e-08	 1.38789e-08	 1.71079e-08	 
9.25 0.05	 1.29109e-07	 6.71473e-08	 6.24143e-08	 2.47632e-08	 1.56868e-08	 2.0012e-08	 
9.75 0.05	 9.66684e-08	 5.98498e-08	 5.68802e-08	 1.86183e-08	 1.16485e-08	 1.53703e-08	 
