*pT           0--5%                  5--10%                 10--15%             15--20%                 20--30%                30--40%                40--50%              50--60%                     60--70%                     70--80%                     80--92%  
1.95  2.85e-01    8.8e-03    2.53e-01    8.1e-03    2.12e-01    7.1e-03   1.74e-01    6.2e-03    1.36e-01    4.1e-03    8.73e-02    3.1e-03    5.34e-02    2.3e-03   2.88e-02    1.6e-03    1.30e-02    1.1e-03    6.03e-03    7.3e-04    2.70e-03    4.8e-04  
2.05  1.89e-01    5.8e-03    1.64e-01    5.4e-03    1.42e-01    4.8e-03   1.16e-01    4.2e-03    9.65e-02    2.9e-03    6.46e-02    2.2e-03    3.64e-02    1.6e-03   2.04e-02    1.2e-03    8.63e-03    7.4e-04    4.23e-03    5.3e-04    1.40e-03    3.0e-04   
2.15  1.32e-01    4.8e-03    1.20e-01    4.5e-03    1.01e-01    4.0e-03   8.98e-02    3.7e-03    6.97e-02    2.4e-03    4.55e-02    1.9e-03    2.72e-02    1.4e-03   1.53e-02    1.0e-03    6.88e-03    6.7e-04    3.17e-03    4.6e-04    1.25e-03    2.9e-04  
2.25  9.24e-02    4.0e-03    8.31e-02    3.8e-03    7.21e-02    3.4e-03   6.55e-02    3.2e-03    5.15e-02    2.1e-03    3.60e-02    1.7e-03    1.95e-02    1.2e-03   1.08e-02    8.8e-04    4.71e-03    5.7e-04    1.89e-03    3.7e-04    8.66e-04    2.5e-04 
2.35  7.07e-02    3.7e-03    6.29e-02    3.5e-03    5.95e-02    3.3e-03   5.02e-02    2.9e-03    3.83e-02    1.9e-03    2.83e-02    1.6e-03    1.76e-02    1.2e-03   8.95e-03    8.4e-04    4.42e-03    5.8e-04    1.96e-03    4.0e-04    6.65e-04    2.3e-04  
2.45  4.71e-02    3.0e-03    4.47e-02    2.9e-03    3.97e-02    2.7e-03   3.62e-02    2.5e-03    2.84e-02    1.6e-03    1.94e-02    1.3e-03    1.33e-02    1.0e-03   7.17e-03    7.6e-04    3.04e-03    4.9e-04    1.17e-03    3.1e-04    5.61e-04    2.1e-04  
2.55  3.50e-02    2.8e-03    3.33e-02    2.7e-03    3.28e-02    2.7e-03   2.55e-02    2.3e-03    2.37e-02    1.6e-03    1.57e-02    1.3e-03    1.06e-02    1.0e-03   5.72e-03    7.5e-04    2.96e-03    5.3e-04    1.16e-03    3.4e-04    3.79e-04    1.9e-04  
2.65  2.69e-02    2.5e-03    2.36e-02    2.3e-03    2.22e-02    2.2e-03   2.01e-02    2.1e-03    1.68e-02    1.4e-03    1.30e-02    1.2e-03    8.20e-03    9.1e-04   4.94e-03    7.1e-04    2.21e-03    4.7e-04    8.05e-04    2.9e-04    4.14e-04    2.0e-04   
2.75  1.99e-02    2.3e-03    1.67e-02    2.1e-03    1.61e-02    2.0e-03   1.57e-02    1.9e-03    1.35e-02    1.3e-03    1.06e-02    1.1e-03    6.35e-03    8.5e-04   3.43e-03    6.3e-04    1.54e-03    4.2e-04    3.78e-04    2.1e-04    3.34e-04    2.0e-04  
2.85  1.45e-02    2.1e-03    1.63e-02    2.2e-03    1.21e-02    1.9e-03   1.30e-02    1.9e-03    1.03e-02    1.2e-03    8.61e-03    1.1e-03    5.10e-03    8.3e-04   2.67e-03    6.0e-04    1.24e-03    4.1e-04    2.87e-04    2.0e-04    2.85e-04    2.0e-04   
2.95  1.08e-02    1.9e-03    1.16e-02    2.0e-03    1.03e-02    1.8e-03   9.44e-03    1.7e-03    8.45e-03    1.2e-03    6.16e-03    9.8e-04    3.72e-03    7.5e-04   1.73e-03    5.1e-04    1.25e-03    4.3e-04    6.75e-04    3.2e-04    2.04e-04    1.8e-04  
