457569  1 1 1 1 1 1 1 1
457634  1 1 1 1 1 1 1 1
457635  1 1 1 1 1 1 1 1
457637  1 1 1 1 1 1 1 1
457718  1 1 1 1 1 1 1 1
457719  1 1 1 1 1 1 1 1
457722  1 1 1 1 1 1 1 1
457723  1 1 1 1 1 1 1 1
457749  1 1 1 1 1 1 1 1
457753  1 1 1 1 1 1 1 1
457754  1 1 1 1 1 1 1 1
457755  1 1 1 1 1 1 1 1
457757  1 1 1 1 1 1 1 1
457758  1 1 1 1 1 1 1 1
457759  1 1 1 1 1 1 1 1
457760  1 1 1 1 1 1 1 1
457791  1 1 1 1 1 1 1 1
457792  1 1 1 1 1 1 1 1
457793  1 1 1 1 1 1 1 1
457794  1 1 1 1 1 1 1 1
457797  1 1 1 1 1 1 1 1
457798  1 1 1 1 1 1 1 1
457799  1 1 1 1 1 1 1 1
457832  1 1 1 1 1 1 1 1
457833  1 1 1 1 1 1 1 1
457834  1 1 1 1 1 1 1 1
457835  1 1 1 1 1 1 1 1
457836  1 1 1 1 1 1 1 1
457837  1 1 1 1 1 1 1 1
457838  1 1 1 1 1 1 1 1
457839  1 1 1 1 1 1 1 1
457840  1 1 1 1 1 1 1 1
457841  1 1 1 1 1 1 1 1
457842  1 1 1 1 1 1 1 1
457843  1 1 1 1 1 1 1 1
457847  1 1 1 1 1 1 1 1
457849  1 1 1 1 1 1 1 1
457850  1 1 1 1 1 1 1 1
457851  1 1 1 1 1 1 1 1
457897  1 1 1 1 1 1 1 1
457898  1 1 1 1 1 1 1 1
457899  1 1 1 1 1 1 1 1
457901  1 1 1 1 1 1 1 1
457904  1 1 1 1 1 1 1 1
457905  1 1 1 1 1 1 1 1
457906  1 1 1 1 1 1 1 1
457909  1 1 1 1 1 1 1 1
457910  1 1 1 1 1 1 1 1
457912  1 1 1 1 1 1 1 1
457914  1 1 1 1 1 1 1 1
457915  1 1 1 1 1 1 1 1
457916  1 1 1 1 1 1 1 1
457917  1 1 1 1 1 1 1 1
457919  1 1 1 1 1 1 1 1
457920  1 1 1 1 1 1 1 1
457921  1 1 1 1 1 1 1 1
457922  1 1 1 1 1 1 1 1
457923  1 1 1 1 1 1 1 1
457925  1 1 1 1 1 1 1 1
457929  1 1 1 1 1 1 1 1
457930  1 1 1 1 1 1 1 1
457931  1 1 1 1 1 1 1 1
457932  1 1 1 1 1 1 1 1
457933  1 1 1 1 1 1 1 1
457934  1 1 1 1 1 1 1 1
457935  1 1 1 1 1 1 1 1
457936  1 1 1 1 1 1 1 1
457938  1 1 1 1 1 1 1 1
457939  1 1 1 1 1 1 1 1
457940  1 1 1 1 1 1 1 1
457942  1 1 1 1 1 1 1 1
457943  1 1 1 1 1 1 1 1
457944  1 1 1 1 1 1 1 1
457945  1 1 1 1 1 1 1 1
457946  1 1 1 1 1 1 1 1
457947  1 1 1 1 1 1 1 1
457948  1 1 1 1 1 1 1 1
457949  1 1 1 1 1 1 1 1
457950  1 1 1 1 1 1 1 1
457955  1 1 1 1 1 1 1 1
457956  1 1 1 1 1 1 1 1
457957  1 1 1 1 1 1 1 1
457959  1 1 1 1 1 1 1 1
457960  1 1 1 1 1 1 1 1
457961  1 1 1 1 1 1 1 1
457996  1 1 1 1 1 1 1 1
458007  1 1 1 1 1 1 1 1
458008  1 1 1 1 1 1 1 1
458009  1 1 1 1 1 1 1 1
458011  1 1 1 1 1 1 1 1
458012  1 1 1 1 1 1 1 1
458013  1 1 1 1 1 1 1 1
458014  1 1 1 1 1 1 1 1
458114  1 1 1 1 1 1 1 1
458115  1 1 1 1 1 1 1 1
458118  1 1 1 1 1 1 1 1
458152  1 1 1 1 1 1 1 1
458153  1 1 1 1 1 1 1 1
458154  1 1 1 1 1 1 1 1
458155  1 1 1 1 1 1 1 1
458157  1 1 1 1 1 1 1 1
458158  1 1 1 1 1 1 1 1
458159  1 1 1 1 1 1 1 1
458160  1 1 1 1 1 1 1 1
458161  1 1 1 1 1 1 1 1
458162  1 1 1 1 1 1 1 1
458165  1 1 1 1 1 1 1 1
458166  1 1 1 1 1 1 1 1
458167  1 1 1 1 1 1 1 1

