0.20   229.234   0.1   95.3701
0.40   2.75293   0.1   0.648919
0.60   1.32131   0.1   0.113127
0.80   0.554198   0.1   0.031166
1.00   0.189813   0.1   0.0104202
1.20   0.0825248   0.1   0.00443229
1.40   0.0343295   0.1   0.00208017
1.60   0.0149423   0.1   0.00103868
1.80   0.00581433   0.1   0.000532445
2.00   0.0021605   0.1   0.000284916
2.20   0.000976623   0.1   0.000177497
2.40   0.000569207   0.1   0.000110935
2.60   0.000329728   0.1   8.07659e-05
2.80   4.87979e-05   0.1   4.80907e-05
3.00   2.15111e-05   0.1   2.62541e-05
3.20   7.95387e-05   0.1   3.23778e-05
3.40   1.88283e-05   0.1   1.72953e-05
3.60   2.17215e-05   0.1   1.77459e-05
3.80   1.27943e-05   0.1   1.48283e-05
4.00   1.26619e-05   0.1   9.13686e-06
4.20   6.56614e-06   0.1   8.63457e-06
4.40   5.07547e-06   0.1   8.12091e-06
4.60   7.7431e-06   0.1   8.48198e-06
4.80   3.77186e-06   0.1   5.27278e-06
