NLO pQCD calculation (by Werner Vogelsang) 

[pb/GeV^2]

 Theory      pT        direct      fragment   total
 scale 
 (unit pT)
======================================================
All direct photon (BFG-II)
  2.000E+00  1.000E+01  7.970E+00  4.382E+00  1.235E+01
  2.000E+00  1.100E+01  4.424E+00  2.333E+00  6.757E+00
  2.000E+00  1.200E+01  2.558E+00  1.301E+00  3.859E+00
  2.000E+00  1.300E+01  1.528E+00  7.514E-01  2.280E+00
  2.000E+00  1.400E+01  9.379E-01  4.470E-01  1.385E+00
  2.000E+00  1.500E+01  5.900E-01  2.729E-01  8.630E-01
  2.000E+00  1.600E+01  3.797E-01  1.718E-01  5.515E-01
  2.000E+00  1.700E+01  2.484E-01  1.097E-01  3.581E-01
  2.000E+00  1.800E+01  1.652E-01  7.128E-02  2.365E-01
  2.000E+00  1.900E+01  1.115E-01  4.721E-02  1.587E-01
  2.000E+00  2.000E+01  7.611E-02  3.138E-02  1.075E-01

=============================================
with PHENIX isolation cut (BFG-II)
  5.000E-01  3.000E+00  1.560E+04  2.331E+03  1.793E+04
  5.000E-01  4.000E+00  3.409E+03  4.330E+02  3.842E+03
  5.000E-01  5.000E+00  9.845E+02  1.166E+02  1.101E+03
  5.000E-01  6.000E+00  3.455E+02  3.991E+01  3.855E+02
  5.000E-01  7.000E+00  1.395E+02  1.563E+01  1.551E+02
  5.000E-01  8.000E+00  6.250E+01  7.014E+00  6.951E+01
  5.000E-01  9.000E+00  3.027E+01  3.310E+00  3.358E+01
  5.000E-01  1.000E+01  1.572E+01  1.729E+00  1.745E+01
  5.000E-01  1.100E+01  8.590E+00  9.462E-01  9.536E+00
  5.000E-01  1.200E+01  4.887E+00  5.392E-01  5.426E+00
  5.000E-01  1.300E+01  2.882E+00  3.212E-01  3.203E+00
  5.000E-01  1.400E+01  1.750E+00  1.978E-01  1.947E+00
  5.000E-01  1.500E+01  1.090E+00  1.227E-01  1.213E+00
  5.000E-01  1.600E+01  6.949E-01  7.966E-02  7.746E-01
  5.000E-01  1.700E+01  4.517E-01  5.234E-02  5.041E-01
  5.000E-01  1.800E+01  2.984E-01  3.488E-02  3.333E-01
  5.000E-01  1.900E+01  2.002E-01  2.358E-02  2.238E-01
  5.000E-01  2.000E+01  1.359E-01  1.625E-02  1.522E-01
  1.000E+00  2.000E+00  8.491E+04  1.461E+04  9.952E+04
  1.000E+00  3.000E+00  1.124E+04  1.684E+03  1.292E+04
  1.000E+00  4.000E+00  2.438E+03  3.464E+02  2.784E+03
  1.000E+00  5.000E+00  7.146E+02  9.727E+01  8.118E+02
  1.000E+00  6.000E+00  2.556E+02  3.416E+01  2.897E+02
  1.000E+00  7.000E+00  1.048E+02  1.369E+01  1.185E+02
  1.000E+00  8.000E+00  4.753E+01  6.211E+00  5.374E+01
  1.000E+00  9.000E+00  2.330E+01  3.003E+00  2.630E+01
  1.000E+00  1.000E+01  1.216E+01  1.549E+00  1.371E+01
  1.000E+00  1.100E+01  6.681E+00  8.544E-01  7.535E+00
  1.000E+00  1.200E+01  3.816E+00  4.888E-01  4.304E+00
  1.000E+00  1.300E+01  2.260E+00  2.877E-01  2.548E+00
  1.000E+00  1.400E+01  1.378E+00  1.760E-01  1.555E+00
  1.000E+00  1.500E+01  8.617E-01  1.107E-01  9.724E-01
  1.000E+00  1.600E+01  5.511E-01  7.175E-02  6.228E-01
  1.000E+00  1.700E+01  3.582E-01  4.623E-02  4.044E-01
  1.000E+00  1.800E+01  2.371E-01  3.131E-02  2.684E-01
  1.000E+00  1.900E+01  1.592E-01  2.102E-02  1.802E-01
  1.000E+00  2.000E+01  1.085E-01  1.447E-02  1.229E-01
  2.000E+00  2.000E+00  7.077E+04  1.335E+04  8.412E+04
  2.000E+00  3.000E+00  9.065E+03  1.536E+03  1.060E+04
  2.000E+00  4.000E+00  1.965E+03  3.136E+02  2.279E+03
  2.000E+00  5.000E+00  5.765E+02  8.870E+01  6.652E+02
  2.000E+00  6.000E+00  2.059E+02  3.081E+01  2.367E+02
  2.000E+00  7.000E+00  8.432E+01  1.212E+01  9.645E+01
  2.000E+00  8.000E+00  3.831E+01  5.470E+00  4.378E+01
  2.000E+00  9.000E+00  1.879E+01  2.614E+00  2.141E+01
  2.000E+00  1.000E+01  9.824E+00  1.367E+00  1.119E+01
  2.000E+00  1.100E+01  5.389E+00  7.491E-01  6.138E+00
  2.000E+00  1.200E+01  3.078E+00  4.281E-01  3.506E+00
  2.000E+00  1.300E+01  1.822E+00  2.508E-01  2.072E+00
  2.000E+00  1.400E+01  1.110E+00  1.538E-01  1.264E+00
  2.000E+00  1.500E+01  6.936E-01  9.584E-02  7.895E-01
  2.000E+00  1.600E+01  4.429E-01  6.167E-02  5.046E-01
  2.000E+00  1.700E+01  2.880E-01  4.027E-02  3.283E-01
  2.000E+00  1.800E+01  1.905E-01  2.685E-02  2.173E-01
  2.000E+00  1.900E+01  1.278E-01  1.824E-02  1.460E-01
  2.000E+00  2.000E+01  8.687E-02  1.250E-02  9.937E-02

======================================
======================================
All direct photon (GRV)
  5.000E-01  2.000E+00  8.087E+04  1.343E+05  2.152E+05
  5.000E-01  3.000E+00  1.168E+04  9.783E+03  2.146E+04
  5.000E-01  4.000E+00  2.633E+03  1.664E+03  4.297E+03
  5.000E-01  5.000E+00  7.789E+02  4.147E+02  1.194E+03
  5.000E-01  6.000E+00  2.784E+02  1.333E+02  4.117E+02
  5.000E-01  7.000E+00  1.141E+02  5.085E+01  1.649E+02
  5.000E-01  8.000E+00  5.173E+01  2.176E+01  7.350E+01
  5.000E-01  9.000E+00  2.531E+01  1.015E+01  3.546E+01
  5.000E-01  1.000E+01  1.326E+01  5.156E+00  1.841E+01
  5.000E-01  1.100E+01  7.290E+00  2.777E+00  1.007E+01
  5.000E-01  1.200E+01  4.175E+00  1.550E+00  5.725E+00
  5.000E-01  1.300E+01  2.477E+00  9.041E-01  3.381E+00
  5.000E-01  1.400E+01  1.511E+00  5.420E-01  2.053E+00
  5.000E-01  1.500E+01  9.461E-01  3.330E-01  1.279E+00
  5.000E-01  1.600E+01  6.061E-01  2.104E-01  8.165E-01
  5.000E-01  1.700E+01  3.953E-01  1.355E-01  5.308E-01
  5.000E-01  1.800E+01  2.622E-01  8.869E-02  3.509E-01
  5.000E-01  1.900E+01  1.766E-01  5.929E-02  2.359E-01
  5.000E-01  2.000E+01  1.204E-01  4.004E-02  1.604E-01
  1.000E+00  2.000E+00  5.030E+04  8.224E+04  1.325E+05
  1.000E+00  3.000E+00  7.523E+03  8.170E+03  1.569E+04
  1.000E+00  4.000E+00  1.747E+03  1.509E+03  3.256E+03
  1.000E+00  5.000E+00  5.338E+02  3.990E+02  9.328E+02
  1.000E+00  6.000E+00  1.965E+02  1.325E+02  3.290E+02
  1.000E+00  7.000E+00  8.236E+01  5.157E+01  1.339E+02
  1.000E+00  8.000E+00  3.803E+01  2.225E+01  6.028E+01
  1.000E+00  9.000E+00  1.892E+01  1.050E+01  2.942E+01
  1.000E+00  1.000E+01  9.996E+00  5.332E+00  1.533E+01
  1.000E+00  1.100E+01  5.546E+00  2.824E+00  8.370E+00
  1.000E+00  1.200E+01  3.196E+00  1.566E+00  4.761E+00
  1.000E+00  1.300E+01  1.908E+00  9.038E-01  2.812E+00
  1.000E+00  1.400E+01  1.172E+00  5.408E-01  1.713E+00
  1.000E+00  1.500E+01  7.372E-01  3.330E-01  1.070E+00
  1.000E+00  1.600E+01  4.742E-01  2.101E-01  6.843E-01
  1.000E+00  1.700E+01  3.102E-01  1.355E-01  4.456E-01
  1.000E+00  1.800E+01  2.064E-01  8.821E-02  2.947E-01
  1.000E+00  1.900E+01  1.392E-01  5.803E-02  1.973E-01
  1.000E+00  2.000E+01  9.532E-02  3.896E-02  1.343E-01
  2.000E+00  2.000E+00  3.759E+04  7.134E+04  1.089E+05
  2.000E+00  3.000E+00  5.722E+03  7.391E+03  1.311E+04
  2.000E+00  4.000E+00  1.352E+03  1.399E+03  2.750E+03
  2.000E+00  5.000E+00  4.180E+02  3.741E+02  7.921E+02
  2.000E+00  6.000E+00  1.544E+02  1.230E+02  2.774E+02
  2.000E+00  7.000E+00  6.500E+01  4.723E+01  1.122E+02
  2.000E+00  8.000E+00  3.016E+01  2.062E+01  5.078E+01
  2.000E+00  9.000E+00  1.506E+01  9.702E+00  2.476E+01
  2.000E+00  1.000E+01  7.973E+00  4.849E+00  1.282E+01
  2.000E+00  1.100E+01  4.431E+00  2.578E+00  7.009E+00
  2.000E+00  1.200E+01  2.555E+00  1.430E+00  3.985E+00
  2.000E+00  1.300E+01  1.525E+00  8.199E-01  2.345E+00
  2.000E+00  1.400E+01  9.378E-01  4.904E-01  1.428E+00
  2.000E+00  1.500E+01  5.904E-01  3.037E-01  8.941E-01
  2.000E+00  1.600E+01  3.794E-01  1.896E-01  5.690E-01
  2.000E+00  1.700E+01  2.482E-01  1.215E-01  3.697E-01
  2.000E+00  1.800E+01  1.652E-01  7.861E-02  2.438E-01
  2.000E+00  1.900E+01  1.114E-01  5.190E-02  1.633E-01
  2.000E+00  2.000E+01  7.614E-02  3.467E-02  1.108E-01

=====================================
PHENIX isolation cut(GRV)
  5.000E-01  2.000E+00  1.125E+05  3.307E+04  1.456E+05
  5.000E-01  3.000E+00  1.560E+04  3.647E+03  1.925E+04
  5.000E-01  4.000E+00  3.409E+03  6.700E+02  4.079E+03
  5.000E-01  5.000E+00  9.845E+02  1.739E+02  1.158E+03
  5.000E-01  6.000E+00  3.455E+02  5.725E+01  4.028E+02
  5.000E-01  7.000E+00  1.395E+02  2.172E+01  1.612E+02
  5.000E-01  8.000E+00  6.250E+01  9.454E+00  7.195E+01
  5.000E-01  9.000E+00  3.027E+01  4.408E+00  3.468E+01
  5.000E-01  1.000E+01  1.572E+01  2.264E+00  1.799E+01
  5.000E-01  1.100E+01  8.590E+00  1.232E+00  9.821E+00
  5.000E-01  1.200E+01  4.887E+00  6.908E-01  5.578E+00
  5.000E-01  1.300E+01  2.882E+00  4.090E-01  3.291E+00
  5.000E-01  1.400E+01  1.750E+00  2.509E-01  2.001E+00
  5.000E-01  1.500E+01  1.090E+00  1.550E-01  1.245E+00
  5.000E-01  1.600E+01  6.949E-01  9.934E-02  7.942E-01
  5.000E-01  1.700E+01  4.517E-01  6.536E-02  5.171E-01
  5.000E-01  1.800E+01  2.984E-01  4.311E-02  3.415E-01
  5.000E-01  1.900E+01  2.002E-01  2.918E-02  2.294E-01
  5.000E-01  2.000E+01  1.359E-01  2.011E-02  1.560E-01
  1.000E+00  2.000E+00  8.491E+04  2.374E+04  1.087E+05
  1.000E+00  3.000E+00  1.124E+04  2.561E+03  1.380E+04
  1.000E+00  4.000E+00  2.438E+03  5.008E+02  2.939E+03
  1.000E+00  5.000E+00  7.146E+02  1.342E+02  8.488E+02
  1.000E+00  6.000E+00  2.556E+02  4.580E+01  3.014E+02
  1.000E+00  7.000E+00  1.048E+02  1.805E+01  1.228E+02
  1.000E+00  8.000E+00  4.753E+01  8.014E+00  5.555E+01
  1.000E+00  9.000E+00  2.330E+01  3.823E+00  2.712E+01
  1.000E+00  1.000E+01  1.216E+01  1.962E+00  1.413E+01
  1.000E+00  1.100E+01  6.681E+00  1.064E+00  7.745E+00
  1.000E+00  1.200E+01  3.816E+00  6.032E-01  4.419E+00
  1.000E+00  1.300E+01  2.260E+00  3.526E-01  2.612E+00
  1.000E+00  1.400E+01  1.378E+00  2.143E-01  1.593E+00
  1.000E+00  1.500E+01  8.617E-01  1.339E-01  9.956E-01
  1.000E+00  1.600E+01  5.511E-01  8.691E-02  6.380E-01
  1.000E+00  1.700E+01  3.582E-01  5.687E-02  4.151E-01
  1.000E+00  1.800E+01  2.371E-01  3.792E-02  2.750E-01
  1.000E+00  1.900E+01  1.592E-01  2.557E-02  1.848E-01
  1.000E+00  2.000E+01  1.085E-01  1.736E-02  1.258E-01
  2.000E+00  2.000E+00  7.077E+04  2.019E+04  9.096E+04
  2.000E+00  3.000E+00  9.065E+03  2.165E+03  1.123E+04
  2.000E+00  4.000E+00  1.965E+03  4.217E+02  2.387E+03
  2.000E+00  5.000E+00  5.765E+02  1.161E+02  6.925E+02
  2.000E+00  6.000E+00  2.059E+02  3.933E+01  2.452E+02
  2.000E+00  7.000E+00  8.432E+01  1.518E+01  9.951E+01
  2.000E+00  8.000E+00  3.831E+01  6.778E+00  4.509E+01
  2.000E+00  9.000E+00  1.879E+01  3.242E+00  2.204E+01
  2.000E+00  1.000E+01  9.824E+00  1.667E+00  1.149E+01
  2.000E+00  1.100E+01  5.389E+00  9.041E-01  6.293E+00
  2.000E+00  1.200E+01  3.078E+00  5.174E-01  3.595E+00
  2.000E+00  1.300E+01  1.822E+00  3.004E-01  2.122E+00
  2.000E+00  1.400E+01  1.110E+00  1.846E-01  1.294E+00
  2.000E+00  1.500E+01  6.936E-01  1.156E-01  8.092E-01
  2.000E+00  1.600E+01  4.429E-01  7.430E-02  5.172E-01
  2.000E+00  1.700E+01  2.880E-01  4.812E-02  3.361E-01
  2.000E+00  1.800E+01  1.905E-01  3.209E-02  2.226E-01
  2.000E+00  1.900E+01  1.278E-01  2.176E-02  1.495E-01
  2.000E+00  2.000E+01  8.687E-02  1.484E-02  1.017E-01
