2.0  2.064321159231111E-2 2.015216550166079E-2 7.580189616128978E-3 5.039614222426566E-3 6.173838899423920E-3 4.036235959421096E-3
2.28  8.125916825523662E-3 7.927361783854414E-3 3.029003256129418E-3 1.925137894361091E-3 2.582184912447735E-3 1.661975009911000E-3
2.56  3.505591316272452E-3 3.322768876456591E-3 1.293803830487674E-3 7.779963259864432E-4 1.164172801966203E-3 7.264922344569951E-4
2.84  1.631135871206370E-3 1.548927968149203E-3 5.813289850124089E-4 3.324468184731880E-4 5.517961558440169E-4 3.349547572757284E-4
3.12  8.096998907790779E-4 7.711350567509037E-4 2.751658152443482E-4 1.481499389093753E-4 2.778862170869265E-4 1.627067612140026E-4
3.40  4.270875425711900E-4 4.021956340935283E-4 1.379265697798555E-4 6.857478255970696E-5 1.457141482865184E-4 8.179661880230009E-5
3.68  2.400290082731947E-4 2.241283899714695E-4 7.040046969438999E-5 3.227434740975156E-5 7.917161581210761E-5 4.243470841155870E-5
3.96  1.401448085901240E-4 1.299149719542329E-4 3.704628538433879E-5 1.540353639493269E-5 4.480314749885507E-5 2.264659937136370E-5
4.24  8.452635850122650E-5 7.823707038604564E-5 1.953066781316827E-5 7.376000733551962E-6 2.601305676943269E-5 1.231806225170102E-5
4.52  5.286025235881376E-5 4.863219421930728E-5 1.067327883703957E-5 3.553561772327127E-6 1.561127466736031E-5 6.926578861807943E-6
4.80  3.415704696530128E-5 3.099093737803659E-5 5.894700498641730E-6 1.737104965255563E-6 9.689374819827080E-6 3.928199243647828E-6
5.08  2.258454248470948E-5 2.038567992461669E-5 3.369485295514461E-6 8.327129932954422E-7 6.137154042536614E-6 2.315195160359892E-6
5.36  1.518995344804941E-5 1.359538703038137E-5 2.024589651490865E-6 4.139033829347021E-7 4.032974260953934E-6 1.403294503310188E-6
5.64  1.045146682872475E-5 9.319134218903388E-6 1.254134657830291E-6 2.180699759902769E-7 2.719729819194570E-6 8.875674697078381E-7
5.92  7.327302136573597E-6 6.541419215848745E-6 8.189829573324809E-7 1.195305045744579E-7 1.891430958816567E-6 5.845097820880824E-7
6.20  5.213756573360656E-6 4.548085806851531E-6 5.624292165049209E-7 7.065649747551707E-8 1.346977569176512E-6 4.016986342775452E-7
